matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
11 Jul 2020 18:15,Ingolstadt,Nurnberg,3.12,3.3,2.27,3-1,2019-2020
07 Jul 2020 18:15,Nurnberg,Ingolstadt,2.21,3.33,3.33,2-0,2019-2020
04 Jul 2020 14:00,Chemnitzer,Hansa Rostock,2.99,3.63,2.11,4-2,2019-2020
Unknown 14:00,Duisburg,Unterhaching,1.46,4.31,6.23,4-0,2019-2020
Unknown 14:00,Jena,Grossaspach,2.64,3.63,2.33,1-0,2019-2020
Unknown 14:00,Kaiserslautern,Bayern II,3.7,3.82,1.81,1-0,2019-2020
Unknown 14:00,Magdeburg,Preussen Munster,1.72,3.92,4.11,2-2,2019-2020
Unknown 14:00,Mannheim,Zwickau,3.09,3.42,2.16,0-0,2019-2020
Unknown 14:00,Meppen,Braunschweig,1.9,3.86,3.45,4-3,2019-2020
Unknown 14:00,Munich 1860,Ingolstadt,2.83,3.55,2.22,0-2,2019-2020
Unknown 14:00,Uerdingen,Viktoria Koln,2.57,3.58,2.41,1-1,2019-2020
Unknown 14:00,Wurzburger Kickers,Hallescher,1.32,4.91,8.25,2-2,2019-2020
01 Jul 2020 19:00,Bayern II,Duisburg,2.09,3.88,2.95,2-2,2019-2020
Unknown 19:00,Braunschweig,Mannheim,1.74,4.01,3.98,3-2,2019-2020
Unknown 19:00,Viktoria Koln,Wurzburger Kickers,5.98,4.78,1.43,5-1,2019-2020
Unknown 19:00,Hallescher,Kaiserslautern,2.1,3.65,3.08,1-1,2019-2020
Unknown 19:00,Hansa Rostock,Uerdingen,1.58,4.13,5.0,1-0,2019-2020
Unknown 19:00,Ingolstadt,Magdeburg,1.63,3.77,4.95,0-2,2019-2020
Unknown 19:00,Preussen Munster,Meppen,1.76,3.96,3.89,0-3,2019-2020
Unknown 19:00,Grossaspach,Munich 1860,4.24,3.73,1.75,2-4,2019-2020
Unknown 19:00,Unterhaching,Jena,1.5,4.37,5.55,2-2,2019-2020
Unknown 19:00,Zwickau,Chemnitzer,2.5,3.3,2.67,2-1,2019-2020
28 Jun 2020 14:00,Magdeburg,Grossaspach,1.36,4.76,7.71,0-1,2019-2020
Unknown 13:00,Meppen,Ingolstadt,3.28,3.52,2.06,0-2,2019-2020
27 Jun 2020 14:00,Duisburg,Hallescher,2.13,3.53,3.05,2-2,2019-2020
Unknown 14:00,Jena,Bayern II,8.83,5.32,1.3,1-2,2019-2020
Unknown 14:00,Kaiserslautern,Viktoria Koln,1.98,3.62,3.44,3-0,2019-2020
Unknown 14:00,Mannheim,Preussen Munster,2.29,3.3,2.91,0-0,2019-2020
Unknown 14:00,Munich 1860,Unterhaching,1.91,3.71,3.54,3-0,2019-2020
Unknown 14:00,Wurzburger Kickers,Hansa Rostock,2.54,3.38,2.62,3-1,2019-2020
Unknown 14:00,Zwickau,Braunschweig,2.83,3.46,2.3,3-2,2019-2020
26 Jun 2020 19:00,Uerdingen,Chemnitzer,2.88,3.15,2.44,1-1,2019-2020
24 Jun 2020 20:30,Bayern II,Munich 1860,1.95,3.74,3.43,2-1,2019-2020
Unknown 20:30,Hallescher,Jena,1.31,5.23,8.02,5-3,2019-2020
Unknown 20:30,Ingolstadt,Mannheim,1.7,3.74,4.58,2-0,2019-2020
Unknown 19:00,Preussen Munster,Zwickau,2.21,3.35,3.08,2-1,2019-2020
Unknown 19:00,Grossaspach,Meppen,2.64,3.44,2.47,1-2,2019-2020
Unknown 19:00,Unterhaching,Magdeburg,3.45,3.3,2.08,0-0,2019-2020
23 Jun 2020 20:30,Viktoria Koln,Duisburg,3.46,3.54,1.98,1-0,2019-2020
Unknown 20:30,Hansa Rostock,Kaiserslautern,1.49,4.36,5.69,1-1,2019-2020
Unknown 19:00,Chemnitzer,Braunschweig,2.56,3.28,2.66,1-2,2019-2020
Unknown 19:00,Uerdingen,Wurzburger Kickers,4.96,4.12,1.59,1-2,2019-2020
21 Jun 2020 17:00,Zwickau,Ingolstadt,3.63,3.47,1.96,0-3,2019-2020
Unknown 14:00,Munich 1860,Hallescher,1.96,3.46,3.62,2-1,2019-2020
Unknown 13:00,Meppen,Unterhaching,2.29,3.36,2.95,3-0,2019-2020
20 Jun 2020 14:00,Braunschweig,Preussen Munster,1.88,3.43,4.02,1-0,2019-2020
Unknown 14:00,Jena,Viktoria Koln,4.98,4.48,1.54,2-3,2019-2020
Unknown 14:00,Kaiserslautern,Uerdingen,2.07,3.2,3.6,4-0,2019-2020
Unknown 14:00,Magdeburg,Bayern II,2.61,3.46,2.49,2-2,2019-2020
Unknown 14:00,Mannheim,Grossaspach,1.79,3.69,4.14,3-2,2019-2020
20 Jun 2020 14:00,Duisburg,Hansa Rostock,3.25,3.44,2.11,0-0,2019-2020
19 Jun 2020 19:00,Wurzburger Kickers,Chemnitzer,1.64,3.93,4.73,3-0,2019-2020
17 Jun 2020 20:30,Hansa Rostock,Jena,1.23,5.88,10.21,4-0,2019-2020
Unknown 20:30,Uerdingen,Duisburg,3.56,3.47,1.98,1-1,2019-2020
Unknown 19:00,Bayern II,Meppen,1.71,3.93,4.15,5-1,2019-2020
Unknown 19:00,Grossaspach,Zwickau,3.14,3.43,2.12,1-0,2019-2020
Unknown 19:00,Unterhaching,Mannheim,2.43,3.31,2.71,0-0,2019-2020
16 Jun 2020 20:30,Viktoria Koln,Munich 1860,3.56,3.63,1.93,2-0,2019-2020
Unknown 20:30,Hallescher,Magdeburg,2.81,3.07,2.55,1-1,2019-2020
Unknown 19:00,Chemnitzer,Preussen Munster,2.33,3.04,3.13,1-0,2019-2020
Unknown 19:00,Ingolstadt,Braunschweig,1.69,3.78,4.54,0-0,2019-2020
Unknown 19:00,Wurzburger Kickers,Kaiserslautern,1.94,3.61,3.49,2-0,2019-2020
14 Jun 2020 17:00,Mannheim,Bayern II,3.06,3.44,2.18,2-3,2019-2020
Unknown 14:00,Zwickau,Unterhaching,2.69,3.21,2.56,3-3,2019-2020
Unknown 13:00,Jena,Uerdingen,4.08,3.86,1.74,0-0,2019-2020
13 Jun 2020 14:00,Braunschweig,Grossaspach,1.53,3.99,5.79,2-1,2019-2020
Unknown 14:00,Duisburg,Wurzburger Kickers,2.51,3.43,2.57,1-1,2019-2020
Unknown 14:00,Kaiserslautern,Chemnitzer,1.88,3.44,4.0,2-0,2019-2020
Unknown 14:00,Magdeburg,Viktoria Koln,1.79,3.65,4.16,2-0,2019-2020
Unknown 14:00,Munich 1860,Hansa Rostock,2.22,3.51,2.91,0-1,2019-2020
Unknown 14:00,Preussen Munster,Ingolstadt,3.5,3.51,1.98,0-0,2019-2020
12 Jun 2020 19:00,Meppen,Hallescher,2.29,3.38,2.93,2-3,2019-2020
10 Jun 2020 20:30,Kaiserslautern,Duisburg,2.4,3.1,3.0,1-3,2019-2020
Unknown 20:30,Unterhaching,Braunschweig,2.0,3.31,3.69,1-3,2019-2020
Unknown 19:00,Chemnitzer,Ingolstadt,3.37,3.16,2.16,0-1,2019-2020
Unknown 19:00,Grossaspach,Preussen Munster,2.32,3.37,2.88,0-0,2019-2020
Unknown 19:00,Wurzburger Kickers,Jena,1.35,4.99,7.67,4-2,2019-2020
09 Jun 2020 20:30,Hallescher,Mannheim,2.41,3.43,2.69,3-0,2019-2020
Unknown 20:30,Hansa Rostock,Magdeburg,2.27,3.12,3.2,3-1,2019-2020
Unknown 19:00,Bayern II,Zwickau,1.53,4.27,5.44,2-0,2019-2020
Unknown 19:00,Viktoria Koln,Meppen,3.02,3.44,2.21,1-3,2019-2020
Unknown 19:00,Uerdingen,Munich 1860,2.46,3.09,2.92,1-3,2019-2020
07 Jun 2020 17:00,Ingolstadt,Grossaspach,1.4,4.54,6.87,1-1,2019-2020
Unknown 14:00,Jena,Kaiserslautern,6.34,4.28,1.48,1-2,2019-2020
Unknown 13:00,Preussen Munster,Unterhaching,2.7,3.32,2.45,2-1,2019-2020
06 Jun 2020 14:00,Braunschweig,Bayern II,2.98,3.48,2.19,1-1,2019-2020
Unknown 14:00,Duisburg,Chemnitzer,1.77,3.65,4.2,2-1,2019-2020
Unknown 14:00,Mannheim,Viktoria Koln,1.95,3.43,3.71,2-1,2019-2020
Unknown 14:00,Meppen,Hansa Rostock,2.47,3.28,2.68,0-3,2019-2020
Unknown 14:00,Munich 1860,Wurzburger Kickers,2.06,3.44,3.26,1-2,2019-2020
Unknown 14:00,Zwickau,Hallescher,2.67,3.27,2.53,5-1,2019-2020
05 Jun 2020 19:00,Magdeburg,Uerdingen,2.06,3.07,3.82,1-1,2019-2020
03 Jun 2020 20:30,Chemnitzer,Grossaspach,1.53,4.04,5.47,0-1,2019-2020
Unknown 20:30,Kaiserslautern,Munich 1860,2.63,3.15,2.61,1-1,2019-2020
Unknown 19:00,Bayern II,Preussen Munster,1.41,4.74,6.58,3-2,2019-2020
Unknown 19:00,Duisburg,Jena,1.36,4.78,7.01,1-1,2019-2020
Unknown 19:00,Hallescher,Braunschweig,2.03,3.45,3.41,0-1,2019-2020
02 Jun 2020 20:30,Hansa Rostock,Mannheim,1.93,3.42,3.68,0-1,2019-2020
Unknown 20:30,Unterhaching,Ingolstadt,2.83,3.14,2.44,1-2,2019-2020
Unknown 19:00,Viktoria Koln,Zwickau,2.25,3.37,2.89,3-0,2019-2020
02 Jun 2020 19:00,Uerdingen,Meppen,2.35,3.32,2.77,0-0,2019-2020
Unknown 19:00,Wurzburger Kickers,Magdeburg,2.05,3.32,3.4,0-1,2019-2020
31 May 2020 17:00,Jena,Chemnitzer,4.64,3.79,1.65,0-1,2019-2020
Unknown 14:25,Preussen Munster,Hallescher,2.63,3.15,2.6,4-2,2019-2020
Unknown 13:00,Munich 1860,Duisburg,2.22,3.33,3.08,3-2,2019-2020
30 May 2020 14:00,Braunschweig,Viktoria Koln,2.03,3.46,3.4,4-2,2019-2020
Unknown 14:00,Ingolstadt,Bayern II,2.61,3.43,2.46,1-2,2019-2020
Unknown 14:00,Magdeburg,Kaiserslautern,2.54,3.12,2.71,0-1,2019-2020
Unknown 14:00,Mannheim,Uerdingen,2.02,3.4,3.46,1-2,2019-2020
Unknown 14:00,Meppen,Wurzburger Kickers,2.15,3.18,3.27,1-3,2019-2020
Unknown 14:00,Grossaspach,Unterhaching,3.63,3.68,1.86,0-2,2019-2020
Unknown 14:00,Zwickau,Hansa Rostock,3.41,3.27,2.07,2-2,2019-2020
09 Mar 2020 19:00,Hansa Rostock,Braunschweig,2.01,3.36,3.58,3-0,2019-2020
08 Mar 2020 14:00,Hallescher,Ingolstadt,2.72,3.29,2.49,1-1,2019-2020
Unknown 13:00,Uerdingen,Zwickau,2.19,3.4,3.11,4-2,2019-2020
07 Mar 2020 14:00,Bayern II,Grossaspach,1.34,5.17,7.49,2-0,2019-2020
Unknown 14:00,Chemnitzer,Unterhaching,1.98,3.5,3.49,1-0,2019-2020
Unknown 14:00,Viktoria Koln,Preussen Munster,2.32,3.39,2.85,2-1,2019-2020
Unknown 14:00,Jena,Munich 1860,4.14,3.63,1.8,0-3,2019-2020
Unknown 14:00,Kaiserslautern,Meppen,2.15,3.39,3.18,3-3,2019-2020
Unknown 14:00,Wurzburger Kickers,Mannheim,1.85,3.75,3.71,0-0,2019-2020
06 Mar 2020 19:00,Duisburg,Magdeburg,2.11,3.38,3.25,1-0,2019-2020
02 Mar 2020 19:00,Preussen Munster,Hansa Rostock,2.98,3.25,2.31,1-0,2019-2020
01 Mar 2020 14:00,Meppen,Duisburg,2.25,3.41,2.96,1-0,2019-2020
Unknown 13:00,Ingolstadt,Viktoria Koln,1.66,4.11,4.34,0-1,2019-2020
29 Feb 2020 14:00,Braunschweig,Uerdingen,2.37,3.17,2.96,4-1,2019-2020
Unknown 14:00,Magdeburg,Jena,1.55,4.03,5.54,6-2,2019-2020
Unknown 14:00,Mannheim,Kaiserslautern,2.43,3.31,2.61,1-1,2019-2020
Unknown 14:00,Munich 1860,Chemnitzer,1.87,3.52,3.9,4-3,2019-2020
Unknown 14:00,Grossaspach,Hallescher,3.69,3.51,1.89,1-0,2019-2020
Unknown 14:00,Zwickau,Wurzburger Kickers,3.36,3.49,2.04,1-2,2019-2020
28 Feb 2020 19:00,Unterhaching,Bayern II,2.9,3.48,2.27,0-1,2019-2020
24 Feb 2020 19:00,Chemnitzer,Bayern II,2.66,3.47,2.43,1-0,2019-2020
23 Feb 2020 14:00,Hallescher,Unterhaching,2.08,3.27,3.46,3-5,2019-2020
Unknown 13:00,Munich 1860,Magdeburg,2.24,3.16,3.21,1-1,2019-2020
