matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
24 May 2022 20:30,SG Dynamo Dresden,Kaiserslautern,2.78,3.01,2.77,0-2,2021-2022
20 May 2022 20:30,Kaiserslautern,SG Dynamo Dresden,2.22,3.25,3.38,0-0,2021-2022
14 May 2022 13:30,Braunschweig,Viktoria Koln,1.51,4.57,5.31,0-1,2021-2022
Unknown 13:30,Freiburg II,Saarbrucken,2.29,3.57,2.85,1-1,2021-2022
Unknown 13:30,Hallescher,Wehen,3.26,3.66,2.05,1-1,2021-2022
Unknown 13:30,Mannheim,TSV Havelse,1.2,6.85,11.27,7-0,2021-2022
Unknown 13:30,Munich 1860,Dortmund II,1.56,4.47,4.93,6-3,2021-2022
Unknown 13:30,Verl,Duisburg,1.62,4.15,4.77,1-1,2021-2022
Unknown 13:30,VfL Osnabruck,Magdeburg,2.12,3.92,2.93,1-5,2021-2022
Unknown 13:30,Viktoria Berlin,Meppen,1.82,3.83,3.77,3-4,2021-2022
Unknown 13:30,Zwickau,Wurzburger Kickers,2.08,3.7,3.18,7-0,2021-2022
08 May 2022 14:00,Viktoria Koln,Kaiserslautern,4.24,3.78,1.76,2-0,2021-2022
Unknown 13:00,Wurzburger Kickers,Hallescher,2.34,3.4,2.88,1-2,2021-2022
07 May 2022 14:00,Duisburg,Freiburg II,1.99,3.52,3.57,1-0,2021-2022
Unknown 14:00,Magdeburg,Munich 1860,1.91,3.91,3.49,4-0,2021-2022
Unknown 14:00,Meppen,Braunschweig,9.38,5.49,1.29,3-2,2021-2022
Unknown 14:00,Saarbrucken,Zwickau,1.98,3.55,3.55,1-1,2021-2022
Unknown 14:00,TSV Havelse,VfL Osnabruck,6.5,4.91,1.41,0-1,2021-2022
Unknown 14:00,Wehen,Mannheim,3.38,3.47,2.06,1-1,2021-2022
06 May 2022 19:00,Dortmund II,Verl,3.27,3.69,2.03,1-2,2021-2022
02 May 2022 19:00,Mannheim,Duisburg,1.91,3.57,3.78,3-1,2021-2022
30 Apr 2022 14:00,Freiburg II,VfL Osnabruck,3.65,3.47,1.98,4-1,2021-2022
Unknown 14:00,Hallescher,Viktoria Koln,2.99,3.14,2.35,1-1,2021-2022
Unknown 14:00,Kaiserslautern,Dortmund II,1.38,4.61,7.18,1-3,2021-2022
Unknown 14:00,Meppen,Wurzburger Kickers,2.91,3.28,2.35,2-4,2021-2022
Unknown 14:00,Munich 1860,TSV Havelse,1.28,5.45,8.89,3-0,2021-2022
Unknown 14:00,Verl,Wehen,2.01,3.62,3.41,3-0,2021-2022
29 Apr 2022 19:00,Braunschweig,Magdeburg,2.42,3.43,2.76,2-1,2021-2022
Unknown 19:00,Viktoria Berlin,Saarbrucken,3.18,3.4,2.18,2-1,2021-2022
25 Apr 2022 19:00,Viktoria Koln,Meppen,1.65,3.87,4.9,1-1,2021-2022
24 Apr 2022 14:00,Magdeburg,Zwickau,1.22,6.1,11.57,3-0,2021-2022
Unknown 13:00,Duisburg,Munich 1860,2.67,3.32,2.56,0-6,2021-2022
23 Apr 2022 14:00,Dortmund II,Hallescher,2.15,3.38,3.24,0-0,2021-2022
Unknown 14:00,Saarbrucken,Verl,2.14,3.53,3.15,1-2,2021-2022
Unknown 14:00,TSV Havelse,Freiburg II,3.48,3.3,2.1,1-0,2021-2022
Unknown 14:00,VfL Osnabruck,Mannheim,1.99,3.48,3.63,1-2,2021-2022
Unknown 14:00,Wurzburger Kickers,Viktoria Berlin,1.98,3.36,3.77,3-0,2021-2022
22 Apr 2022 19:00,Wehen,Kaiserslautern,4.37,3.49,1.82,2-1,2021-2022
19 Apr 2022 19:00,Hallescher,VfL Osnabruck,4.02,3.72,1.81,3-3,2021-2022
18 Apr 2022 19:00,Mannheim,Freiburg II,1.66,3.72,5.12,0-1,2021-2022
17 Apr 2022 14:00,Kaiserslautern,Saarbrucken,1.88,3.45,4.09,3-1,2021-2022
Unknown 13:00,Verl,Magdeburg,4.85,4.03,1.62,4-5,2021-2022
16 Apr 2022 14:00,Braunschweig,Wurzburger Kickers,1.5,4.29,6.04,1-0,2021-2022
Unknown 14:00,Hallescher,TSV Havelse,1.6,4.07,5.14,1-1,2021-2022
Unknown 14:00,Meppen,Dortmund II,2.9,3.34,2.36,1-1,2021-2022
Unknown 14:00,Munich 1860,VfL Osnabruck,2.69,3.37,2.5,2-3,2021-2022
Unknown 14:00,Viktoria Berlin,Duisburg,3.58,3.42,2.01,0-1,2021-2022
Unknown 14:00,Zwickau,Wehen,2.83,3.21,2.47,2-1,2021-2022
11 Apr 2022 19:00,VfL Osnabruck,Verl,1.67,3.97,4.7,3-2,2021-2022
10 Apr 2022 14:00,TSV Havelse,Zwickau,4.07,3.4,1.91,0-3,2021-2022
10 Apr 2022 13:00,Freiburg II,Munich 1860,3.16,3.19,2.32,1-2,2021-2022
