matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
27 May 2025 20:30,Braunschweig,Saarbrucken,2.06,3.63,3.38,2-2,2024-2025
23 May 2025 20:30,Saarbrucken,Braunschweig,2.29,3.43,3.04,0-2,2024-2025
17 May 2025 13:30,Arminia Bielefeld,Mannheim,1.45,4.59,6.13,1-0,2024-2025
Unknown 13:30,SG Dynamo Dresden,Unterhaching,1.22,6.62,10.25,3-0,2024-2025
Unknown 13:30,Cottbus,Ingolstadt,1.51,4.83,5.0,1-4,2024-2025
Unknown 13:30,Hannover II,Hansa Rostock,4.05,4.12,1.73,2-1,2024-2025
Unknown 13:30,Munich 1860,Aue,1.55,4.41,5.02,1-1,2024-2025
Unknown 13:30,Saarbrucken,Dortmund II,1.47,4.8,5.5,2-1,2024-2025
Unknown 13:30,Sandhausen,Viktoria Koln,2.79,3.66,2.28,0-4,2024-2025
Unknown 13:30,Stuttgart II,RW Essen,2.2,3.52,3.02,1-1,2024-2025
Unknown 13:30,VfL Osnabruck,Verl,2.35,3.72,2.66,0-3,2024-2025
Unknown 13:30,Wehen,Alemannia Aachen,2.34,3.52,2.79,2-1,2024-2025
11 May 2025 19:30,Viktoria Koln,Hannover II,1.51,4.48,5.43,2-0,2024-2025
Unknown 16:30,RW Essen,VfL Osnabruck,2.21,3.55,2.99,3-1,2024-2025
Unknown 13:30,Unterhaching,Arminia Bielefeld,7.19,4.86,1.38,1-2,2024-2025
10 May 2025 16:30,Ingolstadt,Wehen,2.18,3.89,2.9,2-3,2024-2025
Unknown 14:00,Alemannia Aachen,Saarbrucken,3.07,3.41,2.24,4-2,2024-2025
Unknown 14:00,Aue,Sandhausen,2.08,3.65,3.27,2-3,2024-2025
Unknown 14:00,Hansa Rostock,Cottbus,1.77,3.89,4.14,1-3,2024-2025
Unknown 14:00,Mannheim,SG Dynamo Dresden,2.96,3.32,2.37,1-0,2024-2025
Unknown 14:00,Verl,Munich 1860,2.03,3.75,3.3,2-2,2024-2025
09 May 2025 19:00,Dortmund II,Stuttgart II,2.43,3.48,2.76,0-1,2024-2025
07 May 2025 19:00,Unterhaching,Hansa Rostock,6.12,4.48,1.47,0-2,2024-2025
04 May 2025 19:30,Hannover II,Unterhaching,1.77,3.96,4.01,0-0,2024-2025
Unknown 16:30,Aue,Ingolstadt,2.24,3.59,2.94,1-0,2024-2025
Unknown 13:30,Cottbus,Mannheim,2.2,3.5,3.06,2-4,2024-2025
03 May 2025 16:30,Arminia Bielefeld,SG Dynamo Dresden,1.96,3.62,3.61,1-1,2024-2025
Unknown 14:00,Munich 1860,RW Essen,2.17,3.49,3.16,1-3,2024-2025
Unknown 14:00,Saarbrucken,Verl,2.04,3.45,3.48,4-3,2024-2025
Unknown 14:00,Sandhausen,Hansa Rostock,3.35,3.57,2.06,0-3,2024-2025
Unknown 14:00,Stuttgart II,Alemannia Aachen,2.73,3.34,2.5,2-1,2024-2025
Unknown 14:00,Wehen,Dortmund II,2.34,3.53,2.84,4-2,2024-2025
02 May 2025 19:00,VfL Osnabruck,Viktoria Koln,2.11,3.49,3.26,2-0,2024-2025
27 Apr 2025 19:30,Mannheim,Stuttgart II,2.08,3.51,3.35,0-0,2024-2025
Unknown 16:30,Alemannia Aachen,VfL Osnabruck,2.32,3.04,3.28,1-0,2024-2025
Unknown 13:30,Ingolstadt,Arminia Bielefeld,3.28,3.75,2.03,0-3,2024-2025
26 Apr 2025 16:30,Verl,Aue,1.87,3.63,3.92,5-1,2024-2025
Unknown 14:00,Dortmund II,Hannover II,1.93,3.94,3.39,0-4,2024-2025
Unknown 14:00,SG Dynamo Dresden,Sandhausen,1.39,4.87,6.91,2-1,2024-2025
Unknown 14:00,Viktoria Koln,Wehen,2.21,3.45,3.12,2-0,2024-2025
Unknown 14:00,RW Essen,Saarbrucken,2.49,3.47,2.67,0-3,2024-2025
Unknown 14:00,Unterhaching,Cottbus,4.17,4.04,1.73,1-1,2024-2025
25 Apr 2025 19:00,Hansa Rostock,Munich 1860,2.18,3.31,3.31,1-0,2024-2025
20 Apr 2025 19:30,Aue,Dortmund II,2.54,3.14,2.88,2-1,2024-2025
Unknown 16:30,Hannover II,Mannheim,2.87,3.57,2.33,1-1,2024-2025
Unknown 13:30,Saarbrucken,SG Dynamo Dresden,2.31,3.38,3.05,1-4,2024-2025
19 Apr 2025 16:30,Stuttgart II,Verl,2.62,3.51,2.53,1-1,2024-2025
Unknown 16:30,VfL Osnabruck,Ingolstadt,2.14,3.56,3.2,1-0,2024-2025
Unknown 14:00,Munich 1860,Alemannia Aachen,2.31,3.1,3.32,2-1,2024-2025
Unknown 14:00,Sandhausen,RW Essen,2.88,3.45,2.35,0-2,2024-2025
19 Apr 2025 14:00,Arminia Bielefeld,Hansa Rostock,1.89,3.64,3.9,4-0,2024-2025
Unknown 14:00,Cottbus,Viktoria Koln,2.15,3.62,3.16,1-0,2024-2025
Unknown 14:00,Wehen,Unterhaching,1.63,4.01,4.97,3-0,2024-2025
13 Apr 2025 19:30,Viktoria Koln,Arminia Bielefeld,3.21,3.45,2.15,0-2,2024-2025
Unknown 16:30,Dortmund II,Cottbus,2.69,3.52,2.42,4-1,2024-2025
Unknown 13:30,Mannheim,Munich 1860,2.32,3.29,3.0,0-3,2024-2025
12 Apr 2025 16:30,Alemannia Aachen,Sandhausen,1.93,3.5,3.76,2-1,2024-2025
