fotmob_match_id,season,round,round_name,home_team,home_team_id,away_team,away_team_id,finished,match_date,home_score,away_score,home_possession,away_possession,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_passes,away_passes,home_passes_accurate,away_passes_accurate,home_pass_accuracy_pct,away_pass_accuracy_pct,home_touches_opp_box,away_touches_opp_box,home_corners,away_corners,home_tackles,away_tackles,home_interceptions,away_interceptions,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_aerials_won,away_aerials_won,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,has_stats
3411846,2020-2021,1,1,Kaiserslautern,8350,Dynamo Dresden,8480,True,2020-09-18T15:45:00Z,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
3411839,2020-2021,1,1,Bayern München II,8264,Türkgücü München,946518,True,2020-09-19T12:00:00Z,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
3411850,2020-2021,1,1,FSV Zwickau,95202,Unterhaching,8486,True,2020-09-19T12:00:00Z,2,1,63.0,37.0,13.0,14.0,3.0,7.0,5.0,6.0,1.0,4.0,0.0,2.0,546.0,319.0,448.0,230.0,82.0,72.0,20.0,23.0,7.0,5.0,16.0,13.0,9.0,18.0,14.0,33.0,5.0,2.0,42.0,53.0,9.0,29.0,8.0,11.0,1.0,1.0,0.0,0.0,True
3411853,2020-2021,1,1,Hansa Rostock,8294,MSV Duisburg,8293,True,2020-09-19T12:00:00Z,3,1,48.0,52.0,12.0,12.0,6.0,4.0,3.0,3.0,3.0,0.0,1.0,0.0,389.0,441.0,307.0,364.0,79.0,83.0,17.0,15.0,6.0,3.0,12.0,21.0,10.0,9.0,20.0,41.0,3.0,3.0,53.0,54.0,20.0,17.0,12.0,13.0,2.0,2.0,0.0,0.0,True
3411848,2020-2021,1,1,Lübeck,8663,Saarbrücken,8271,True,2020-09-19T12:00:00Z,1,1,40.0,60.0,12.0,11.0,3.0,1.0,7.0,5.0,1.0,0.0,1.0,0.0,288.0,435.0,165.0,317.0,57.0,73.0,23.0,41.0,7.0,5.0,19.0,21.0,7.0,6.0,30.0,34.0,1.0,3.0,64.0,77.0,28.0,35.0,14.0,13.0,2.0,3.0,0.0,0.0,True
3411852,2020-2021,1,1,Meppen,79904,1860 München,9753,True,2020-09-19T12:00:00Z,1,3,44.0,56.0,16.0,18.0,4.0,7.0,7.0,6.0,2.0,2.0,2.0,1.0,300.0,371.0,189.0,250.0,63.0,67.0,27.0,26.0,5.0,9.0,16.0,17.0,4.0,11.0,23.0,29.0,6.0,2.0,67.0,56.0,29.0,18.0,17.0,12.0,2.0,2.0,0.0,0.0,True
3411849,2020-2021,1,1,Wehen Wiesbaden,8196,SC Verl,7783,True,2020-09-19T12:00:00Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
3411854,2020-2021,1,1,Ingolstadt,8234,KFC Uerdingen,8199,True,2020-09-20T11:00:00Z,2,1,46.0,54.0,6.0,18.0,3.0,7.0,2.0,10.0,0.0,2.0,0.0,0.0,338.0,388.0,234.0,297.0,69.0,77.0,4.0,31.0,1.0,8.0,19.0,18.0,19.0,17.0,32.0,7.0,3.0,3.0,45.0,51.0,6.0,20.0,11.0,14.0,2.0,1.0,0.0,0.0,True
3411851,2020-2021,1,1,Magdeburg,8188,Hallescher FC,7761,True,2020-09-20T12:00:00Z,0,2,70.0,30.0,19.0,13.0,7.0,4.0,6.0,4.0,4.0,0.0,3.0,0.0,599.0,256.0,515.0,171.0,86.0,67.0,44.0,10.0,7.0,6.0,14.0,20.0,9.0,13.0,8.0,16.0,3.0,5.0,56.0,58.0,13.0,23.0,8.0,14.0,3.0,5.0,0.0,0.0,True
3411847,2020-2021,1,1,Waldhof Mannheim,9743,Viktoria Köln 1904,276267,True,2020-09-21T17:00:00Z,2,2,40.0,60.0,8.0,11.0,6.0,4.0,2.0,5.0,1.0,3.0,0.0,3.0,376.0,562.0,299.0,463.0,80.0,82.0,16.0,32.0,4.0,2.0,14.0,17.0,12.0,9.0,36.0,14.0,2.0,4.0,48.0,57.0,15.0,20.0,15.0,13.0,4.0,1.0,0.0,0.0,True
