matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
Unknown 14:00,Kaiserslautern,Saarbrucken,2.42,3.38,2.84,2-1,2020-2021
Unknown 14:00,Magdeburg,Zwickau,2.32,3.25,3.16,0-0,2020-2021
Unknown 14:00,Turkgucu Munchen,Munich 1860,5.06,3.69,1.7,0-2,2020-2021
Unknown 14:00,Verl,Uerdingen,2.48,3.36,2.79,3-0,2020-2021
16 Apr 2021 19:00,Bayern II,Hansa Rostock,2.96,3.32,2.37,0-1,2020-2021
12 Apr 2021 19:00,Meppen,Wehen,3.1,3.64,2.17,0-3,2020-2021
11 Apr 2021 14:00,Unterhaching,SG Dynamo Dresden,4.07,3.49,1.9,2-0,2020-2021
Unknown 13:00,Zwickau,Viktoria Koln,2.37,3.33,2.91,1-2,2020-2021
10 Apr 2021 14:00,Duisburg,Mannheim,2.6,3.14,2.82,1-1,2020-2021
Unknown 14:00,Hansa Rostock,Magdeburg,2.13,3.07,3.79,0-2,2020-2021
Unknown 14:00,Ingolstadt,Bayern II,1.58,3.97,5.66,2-2,2020-2021
Unknown 14:00,Lubeck,Kaiserslautern,3.01,3.24,2.38,1-1,2020-2021
Unknown 14:00,Munich 1860,Verl,1.91,3.74,3.75,3-2,2020-2021
Unknown 14:00,Saarbrucken,Turkgucu Munchen,1.7,3.82,4.72,2-1,2020-2021
09 Apr 2021 19:00,Hallescher,Uerdingen,2.91,3.23,2.46,2-1,2020-2021
07 Apr 2021 17:00,Kaiserslautern,Zwickau,2.22,3.14,3.45,2-2,2020-2021
05 Apr 2021 19:00,Viktoria Koln,Unterhaching,2.08,3.64,3.32,1-1,2020-2021
04 Apr 2021 14:00,SG Dynamo Dresden,Hansa Rostock,2.24,3.14,3.4,0-0,2020-2021
Unknown 13:00,Turkgucu Munchen,Meppen,2.41,3.41,2.86,2-0,2020-2021
03 Apr 2021 14:00,Bayern II,Lubeck,2.06,3.49,3.47,2-3,2020-2021
Unknown 14:00,Kaiserslautern,Hallescher,1.89,3.31,4.49,3-1,2020-2021
Unknown 14:00,Magdeburg,Ingolstadt,3.7,3.35,2.04,2-0,2020-2021
Unknown 14:00,Mannheim,Zwickau,2.47,3.13,2.98,1-0,2020-2021
Unknown 14:00,Uerdingen,Munich 1860,3.71,3.24,2.1,1-3,2020-2021
Unknown 14:00,Verl,Duisburg,2.02,3.5,3.58,1-2,2020-2021
Unknown 14:00,Wehen,Saarbrucken,2.43,3.42,2.82,2-2,2020-2021
27 Mar 2021 14:00,Uerdingen,Zwickau,2.59,3.09,2.87,1-1,2020-2021
22 Mar 2021 19:00,Munich 1860,SG Dynamo Dresden,2.48,3.23,2.88,1-0,2020-2021
21 Mar 2021 14:00,Zwickau,Wehen,3.13,3.08,2.4,2-1,2020-2021
Unknown 13:00,Meppen,Bayern II,3.3,3.53,2.12,2-1,2020-2021
20 Mar 2021 14:00,Hansa Rostock,Hallescher,1.81,3.45,4.62,1-0,2020-2021
Unknown 14:00,Ingolstadt,Mannheim,1.6,3.87,5.63,1-0,2020-2021
Unknown 14:00,Unterhaching,Uerdingen,2.55,3.33,2.75,2-3,2020-2021
20 Mar 2021 14:00,Duisburg,Turkgucu Munchen,2.08,3.45,3.53,3-2,2020-2021
Unknown 14:00,Lubeck,Verl,3.04,3.36,2.32,2-2,2020-2021
Unknown 14:00,Magdeburg,Kaiserslautern,2.65,3.09,2.81,1-0,2020-2021
19 Mar 2021 19:00,Saarbrucken,Viktoria Koln,2.02,3.56,3.59,2-3,2020-2021
17 Mar 2021 19:00,SG Dynamo Dresden,Wehen,1.95,3.26,4.23,1-0,2020-2021
Unknown 19:00,Lubeck,Munich 1860,4.18,3.51,1.88,0-0,2020-2021
Unknown 19:00,Meppen,Uerdingen,2.83,3.02,2.68,0-4,2020-2021
Unknown 19:00,Verl,Ingolstadt,3.61,3.5,2.03,1-1,2020-2021
16 Mar 2021 19:00,Hallescher,Duisburg,2.84,3.3,2.49,1-1,2020-2021
15 Mar 2021 19:00,Turkgucu Munchen,Hansa Rostock,3.67,3.06,2.17,0-3,2020-2021
14 Mar 2021 14:00,Mannheim,Meppen,1.99,3.68,3.51,0-1,2020-2021
Unknown 13:00,Verl,Unterhaching,1.95,3.75,3.59,2-1,2020-2021
13 Mar 2021 14:00,Bayern II,Magdeburg,2.16,3.26,3.49,0-2,2020-2021
Unknown 14:00,SG Dynamo Dresden,Saarbrucken,1.94,3.29,4.24,1-1,2020-2021
Unknown 14:00,Viktoria Koln,Duisburg,2.53,3.26,2.82,3-1,2020-2021
Unknown 14:00,Hallescher,Munich 1860,3.29,3.28,2.24,0-4,2020-2021
Unknown 14:00,Wehen,Ingolstadt,3.03,3.14,2.44,1-2,2020-2021
12 Mar 2021 19:00,Uerdingen,Lubeck,2.21,3.3,3.31,1-1,2020-2021
10 Mar 2021 19:00,Bayern II,Verl,2.53,3.43,2.69,1-2,2020-2021
Unknown 19:00,Saarbrucken,Zwickau,2.16,3.31,3.37,1-2,2020-2021
09 Mar 2021 19:00,Viktoria Koln,Meppen,2.24,3.39,3.16,1-0,2020-2021
