matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
28 May 2013 20:30,SG Dynamo Dresden,VfL Osnabruck,1.74,3.78,4.55,2-0,2012-2013
24 May 2013 20:30,VfL Osnabruck,SG Dynamo Dresden,2.21,3.26,3.26,1-0,2012-2013
18 May 2013 13:30,Burghausen,Arminia Bielefeld,2.43,3.27,2.65,1-0,2012-2013
Unknown 13:30,Chemnitzer,Unterhaching,1.81,3.6,3.8,5-0,2012-2013
Unknown 13:30,Darmstadt,Stutt. Kickers,2.1,3.32,3.19,1-1,2012-2013
Unknown 13:30,Hallescher,Saarbrucken,2.05,3.38,3.22,2-1,2012-2013
Unknown 13:30,Hansa Rostock,Erfurt,1.97,3.35,3.45,0-0,2012-2013
Unknown 13:30,Heidenheim,Offenbach,1.3,5.2,7.67,0-0,2012-2013
Unknown 13:30,Preussen Munster,Babelsberg,1.55,3.97,5.2,4-1,2012-2013
Unknown 13:30,Stuttgart II,Dortmund II,3.83,3.42,1.87,0-1,2012-2013
Unknown 13:30,VfL Osnabruck,Alemannia Aachen,1.3,4.88,8.22,4-0,2012-2013
Unknown 13:30,Wehen,Karlsruher SC,3.32,3.35,2.02,2-4,2012-2013
11 May 2013 13:30,Alemannia Aachen,Stuttgart II,2.7,3.2,2.4,4-2,2012-2013
Unknown 13:30,Arminia Bielefeld,VfL Osnabruck,2.03,3.27,3.32,1-0,2012-2013
Unknown 13:30,Babelsberg,Burghausen,1.74,3.63,4.06,0-4,2012-2013
Unknown 13:30,Dortmund II,Hallescher,1.78,3.52,4.1,2-2,2012-2013
Unknown 13:30,Erfurt,Darmstadt,2.19,3.25,3.02,2-4,2012-2013
Unknown 13:30,Karlsruher SC,Hansa Rostock,1.26,5.17,9.75,1-1,2012-2013
Unknown 13:30,Offenbach,Wehen,2.02,3.33,3.45,1-0,2012-2013
Unknown 13:30,Saarbrucken,Heidenheim,3.53,3.38,1.94,1-2,2012-2013
Unknown 13:30,Stutt. Kickers,Chemnitzer,1.82,3.45,3.94,1-1,2012-2013
Unknown 13:30,Unterhaching,Preussen Munster,5.27,3.77,1.57,3-0,2012-2013
07 May 2013 18:00,Dortmund II,Erfurt,1.79,3.41,4.36,4-3,2012-2013
05 May 2013 14:00,Darmstadt,Karlsruher SC,4.28,3.54,1.79,0-1,2012-2013
04 May 2013 14:00,Babelsberg,Unterhaching,1.9,3.43,3.63,3-1,2012-2013
Unknown 14:00,Chemnitzer,Erfurt,2.04,3.23,3.37,1-2,2012-2013
Unknown 14:00,Hallescher,Alemannia Aachen,1.54,3.75,5.28,1-0,2012-2013
Unknown 14:00,Hansa Rostock,Offenbach,2.38,3.18,2.78,2-2,2012-2013
Unknown 14:00,Heidenheim,Dortmund II,1.47,4.13,5.83,2-2,2012-2013
Unknown 14:00,Preussen Munster,Stutt. Kickers,1.38,4.4,7.32,0-1,2012-2013
Unknown 14:00,VfL Osnabruck,Burghausen,1.45,4.16,6.08,1-0,2012-2013
03 May 2013 19:00,Wehen,Saarbrucken,1.92,3.45,3.76,3-1,2012-2013
Unknown 18:00,Stuttgart II,Arminia Bielefeld,4.24,3.35,1.85,0-1,2012-2013
30 Apr 2013 18:30,Babelsberg,Dortmund II,2.55,3.17,2.69,1-1,2012-2013
27 Apr 2013 14:00,Alemannia Aachen,Heidenheim,5.58,4.02,1.55,1-2,2012-2013
Unknown 14:00,Arminia Bielefeld,Hallescher,1.5,3.98,6.42,2-1,2012-2013
Unknown 14:00,Burghausen,Unterhaching,1.95,3.42,3.68,3-1,2012-2013
Unknown 14:00,Dortmund II,Wehen,2.14,3.25,3.32,1-2,2012-2013
Unknown 14:00,Erfurt,Preussen Munster,3.12,3.3,2.21,1-1,2012-2013
Unknown 14:00,Saarbrucken,Hansa Rostock,1.93,3.49,3.7,1-1,2012-2013
Unknown 14:00,Stutt. Kickers,Babelsberg,1.97,3.18,3.95,2-1,2012-2013
Unknown 14:00,VfL Osnabruck,Stuttgart II,1.51,4.04,6.09,2-0,2012-2013
26 Apr 2013 19:00,Karlsruher SC,Chemnitzer,1.44,4.18,7.2,4-1,2012-2013
Unknown 19:00,Offenbach,Darmstadt,2.04,3.22,3.7,0-2,2012-2013
20 Apr 2013 14:00,Babelsberg,Erfurt,2.57,3.1,2.7,1-1,2012-2013
Unknown 14:00,Chemnitzer,Offenbach,2.31,3.2,3.01,2-0,2012-2013
Unknown 14:00,Hallescher,VfL Osnabruck,3.46,3.2,2.1,1-2,2012-2013
Unknown 14:00,Preussen Munster,Karlsruher SC,2.4,3.18,2.87,2-1,2012-2013
Unknown 14:00,Unterhaching,Stutt. Kickers,2.28,3.24,3.01,1-1,2012-2013
Unknown 14:00,Stuttgart II,Burghausen,2.19,3.17,3.28,0-0,2012-2013
20 Apr 2013 14:00,Darmstadt,Saarbrucken,2.05,3.24,3.61,1-2,2012-2013
Unknown 14:00,Hansa Rostock,Dortmund II,2.25,3.23,3.1,2-0,2012-2013
Unknown 14:00,Heidenheim,Arminia Bielefeld,2.29,3.27,2.96,3-0,2012-2013
19 Apr 2013 19:00,Wehen,Alemannia Aachen,1.55,3.9,5.38,3-2,2012-2013
17 Apr 2013 19:00,Darmstadt,Chemnitzer,2.4,3.1,2.93,1-1,2012-2013
Unknown 18:00,Dortmund II,Offenbach,2.35,3.14,2.99,0-0,2012-2013
16 Apr 2013 19:00,Babelsberg,Hansa Rostock,2.44,3.12,2.86,2-1,2012-2013
Unknown 19:00,Erfurt,Alemannia Aachen,1.63,3.69,5.08,3-1,2012-2013
Unknown 19:00,Hallescher,Heidenheim,3.54,3.31,2.02,0-0,2012-2013
Unknown 18:00,Stuttgart II,Preussen Munster,3.44,3.16,2.13,0-1,2012-2013
13 Apr 2013 14:00,Arminia Bielefeld,Wehen,1.71,3.51,4.77,3-1,2012-2013
Unknown 14:00,Burghausen,Stutt. Kickers,2.01,3.28,3.51,1-4,2012-2013
Unknown 14:00,Dortmund II,Darmstadt,2.19,3.15,3.29,1-0,2012-2013
