matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
06 Jun 2023 20:45,Arminia Bielefeld,Wehen,2.12,3.9,3.02,1-2,2022-2023
02 Jun 2023 20:45,Wehen,Arminia Bielefeld,2.57,3.4,2.68,4-0,2022-2023
27 May 2023 13:30,Bayreuth,Aue,3.01,4.12,2.02,3-3,2022-2023
Unknown 13:30,SG Dynamo Dresden,VfB Oldenburg,1.23,6.68,9.26,2-1,2022-2023
Unknown 13:30,Freiburg II,Meppen,1.28,5.8,8.4,2-0,2022-2023
Unknown 13:30,Ingolstadt,Elversberg,3.49,4.11,1.86,1-2,2022-2023
Unknown 13:30,Mannheim,Duisburg,1.71,4.3,3.98,3-1,2022-2023
Unknown 13:30,RW Essen,Verl,2.55,3.8,2.42,2-2,2022-2023
Unknown 13:30,Saarbrucken,Viktoria Koln,1.44,5.03,5.74,2-1,2022-2023
Unknown 13:30,VfL Osnabruck,Dortmund II,1.44,5.2,5.49,2-1,2022-2023
Unknown 13:30,Wehen,Hallescher,1.19,7.17,10.42,1-0,2022-2023
Unknown 13:30,Zwickau,Munich 1860,3.38,3.96,1.92,2-2,2022-2023
22 May 2023 19:00,Meppen,SG Dynamo Dresden,6.88,5.12,1.37,4-1,2022-2023
21 May 2023 14:00,Duisburg,Saarbrucken,7.62,5.15,1.36,2-2,2022-2023
Unknown 13:00,VfB Oldenburg,Zwickau,1.77,3.99,3.97,1-2,2022-2023
20 May 2023 14:00,Aue,Ingolstadt,2.28,3.58,2.86,0-3,2022-2023
Unknown 14:00,Dortmund II,Bayreuth,1.38,5.22,6.63,1-0,2022-2023
Unknown 14:00,Elversberg,Wehen,1.69,4.17,4.2,1-1,2022-2023
Unknown 14:00,Viktoria Koln,VfL Osnabruck,3.07,3.87,2.07,0-2,2022-2023
Unknown 14:00,Hallescher,RW Essen,1.89,3.61,3.83,2-0,2022-2023
Unknown 14:00,Verl,Freiburg II,3.23,3.57,2.09,1-2,2022-2023
19 May 2023 19:00,Munich 1860,Mannheim,2.2,3.64,2.94,3-1,2022-2023
15 May 2023 19:00,Aue,Dortmund II,2.78,3.6,2.32,3-3,2022-2023
14 May 2023 14:00,VfL Osnabruck,Meppen,1.47,4.68,5.7,2-2,2022-2023
Unknown 13:00,RW Essen,Munich 1860,1.97,3.54,3.57,2-2,2022-2023
13 May 2023 14:00,Bayreuth,Viktoria Koln,3.15,3.78,2.07,1-4,2022-2023
Unknown 14:00,Freiburg II,Elversberg,3.26,3.63,2.07,2-1,2022-2023
Unknown 14:00,Mannheim,VfB Oldenburg,1.58,4.1,5.14,1-3,2022-2023
Unknown 14:00,Saarbrucken,Hallescher,1.58,4.24,5.05,2-0,2022-2023
Unknown 14:00,Wehen,Verl,1.66,4.18,4.41,2-1,2022-2023
Unknown 14:00,Zwickau,SG Dynamo Dresden,6.93,5.07,1.37,0-1,2022-2023
12 May 2023 19:00,Ingolstadt,Duisburg,1.96,3.8,3.44,2-0,2022-2023
08 May 2023 19:00,Verl,VfL Osnabruck,3.53,3.9,1.91,0-1,2022-2023
07 May 2023 14:00,Viktoria Koln,Dortmund II,2.52,3.49,2.62,1-1,2022-2023
Unknown 13:00,VfB Oldenburg,Saarbrucken,4.95,4.08,1.64,0-1,2022-2023
