matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
02 Jun 2015 20:30,Munich 1860,Holstein Kiel,2.36,3.19,3.14,2-1,2014-2015
29 May 2015 20:30,Holstein Kiel,Munich 1860,2.12,3.31,3.6,0-0,2014-2015
23 May 2015 13:30,SG Dynamo Dresden,Hansa Rostock,2.4,3.47,2.75,2-1,2014-2015
Unknown 13:30,Cottbus,Stuttgart II,1.9,3.59,3.83,2-3,2014-2015
Unknown 13:30,Erfurt,Unterhaching,3.03,3.78,2.1,1-0,2014-2015
Unknown 13:30,Holstein Kiel,Stutt. Kickers,1.97,3.52,3.67,0-2,2014-2015
Unknown 13:30,Mainz II,Chemnitzer,2.0,3.44,3.66,1-1,2014-2015
Unknown 13:30,Preussen Munster,Dortmund II,1.91,3.61,3.73,1-2,2014-2015
Unknown 13:30,Regensburg,Fortuna Koln,2.23,3.51,3.03,4-0,2014-2015
Unknown 13:30,Grossaspach,Arminia Bielefeld,3.51,3.59,1.99,0-1,2014-2015
Unknown 13:30,VfL Osnabruck,Hallescher,2.11,3.58,3.19,2-0,2014-2015
Unknown 13:30,Wehen,Duisburg,2.42,3.46,2.76,1-0,2014-2015
16 May 2015 13:30,Arminia Bielefeld,Regensburg,1.17,6.84,14.88,2-2,2014-2015
Unknown 13:30,Chemnitzer,Grossaspach,1.85,3.6,4.04,2-0,2014-2015
Unknown 13:30,Dortmund II,SG Dynamo Dresden,1.99,3.47,3.6,2-3,2014-2015
Unknown 13:30,Duisburg,Holstein Kiel,2.08,3.41,3.48,3-1,2014-2015
Unknown 13:30,Fortuna Koln,Wehen,2.33,3.34,2.96,2-1,2014-2015
Unknown 13:30,Hallescher,Mainz II,2.39,3.43,2.8,1-2,2014-2015
Unknown 13:30,Hansa Rostock,Cottbus,1.89,3.61,3.84,0-1,2014-2015
Unknown 13:30,Stutt. Kickers,Erfurt,1.57,3.95,5.78,0-0,2014-2015
Unknown 13:30,Unterhaching,Preussen Munster,2.06,3.57,3.31,1-0,2014-2015
Unknown 13:30,Stuttgart II,VfL Osnabruck,2.41,3.31,2.87,0-0,2014-2015
10 May 2015 14:00,Erfurt,Duisburg,4.73,3.9,1.68,0-2,2014-2015
Unknown 14:00,Grossaspach,Hallescher,2.55,3.26,2.71,2-1,2014-2015
09 May 2015 14:00,SG Dynamo Dresden,Unterhaching,1.98,3.5,3.68,5-1,2014-2015
Unknown 14:00,Cottbus,Dortmund II,1.98,3.47,3.51,0-3,2014-2015
Unknown 14:00,Holstein Kiel,Fortuna Koln,1.5,3.95,6.78,4-0,2014-2015
Unknown 14:00,Mainz II,VfL Osnabruck,2.0,3.37,3.71,1-1,2014-2015
Unknown 14:00,Preussen Munster,Stutt. Kickers,2.25,3.36,3.08,2-3,2014-2015
Unknown 14:00,Regensburg,Chemnitzer,3.1,3.3,2.26,0-1,2014-2015
Unknown 14:00,Wehen,Arminia Bielefeld,3.86,3.52,1.93,1-1,2014-2015
08 May 2015 19:00,Stuttgart II,Hansa Rostock,2.46,3.16,2.92,3-2,2014-2015
03 May 2015 14:00,Dortmund II,Stuttgart II,2.13,3.29,3.41,2-0,2014-2015
Unknown 14:00,Duisburg,Preussen Munster,1.72,3.65,4.75,2-1,2014-2015
Unknown 14:00,VfL Osnabruck,Hansa Rostock,1.93,3.45,3.85,1-0,2014-2015
02 May 2015 14:00,Arminia Bielefeld,Holstein Kiel,2.02,3.33,3.69,2-2,2014-2015
Unknown 14:00,Chemnitzer,Wehen,1.83,3.52,4.27,2-1,2014-2015
Unknown 14:00,Fortuna Koln,Erfurt,2.12,3.28,3.44,2-2,2014-2015
Unknown 14:00,Hallescher,Regensburg,1.65,3.76,5.08,2-1,2014-2015
Unknown 14:00,Mainz II,Grossaspach,2.14,3.23,3.47,3-1,2014-2015
Unknown 14:00,Stutt. Kickers,SG Dynamo Dresden,1.73,3.61,4.72,3-4,2014-2015
Unknown 14:00,Unterhaching,Cottbus,2.37,3.29,2.94,3-3,2014-2015
26 Apr 2015 14:00,SG Dynamo Dresden,Duisburg,2.89,3.21,2.45,0-2,2014-2015
Unknown 14:00,Stuttgart II,Unterhaching,1.94,3.43,3.82,1-3,2014-2015
25 Apr 2015 14:00,Cottbus,Stutt. Kickers,2.55,3.25,2.73,2-0,2014-2015
Unknown 14:00,Erfurt,Arminia Bielefeld,3.61,3.41,2.02,0-4,2014-2015
Unknown 14:00,Hansa Rostock,Dortmund II,1.89,3.44,4.07,3-2,2014-2015
Unknown 14:00,Holstein Kiel,Chemnitzer,2.03,3.32,3.7,2-1,2014-2015
Unknown 14:00,Preussen Munster,Fortuna Koln,1.75,3.47,4.86,1-0,2014-2015
Unknown 14:00,Regensburg,Mainz II,2.47,3.33,2.77,0-0,2014-2015
25 Apr 2015 14:00,Wehen,Hallescher,2.54,3.21,2.8,3-0,2014-2015
24 Apr 2015 19:00,Grossaspach,VfL Osnabruck,2.32,3.27,3.03,1-0,2014-2015
19 Apr 2015 14:00,Hallescher,Holstein Kiel,2.64,3.12,2.76,2-2,2014-2015
18 Apr 2015 14:00,Arminia Bielefeld,Preussen Munster,1.71,3.54,4.97,2-1,2014-2015
Unknown 14:00,Chemnitzer,Erfurt,1.79,3.36,4.56,2-1,2014-2015
Unknown 14:00,Duisburg,Cottbus,1.85,3.53,4.16,3-2,2014-2015
Unknown 14:00,Fortuna Koln,SG Dynamo Dresden,2.51,3.12,2.87,1-0,2014-2015
Unknown 14:00,Mainz II,Wehen,2.43,3.15,2.95,1-1,2014-2015
