matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
24 May 2016 19:10,Duisburg,Wurzburger Kickers,2.53,3.19,2.9,1-2,2015-2016
20 May 2016 19:10,Wurzburger Kickers,Duisburg,2.08,3.22,3.78,2-0,2015-2016
14 May 2016 13:45,Aalen,Werder Bremen II,3.02,3.41,2.21,1-2,2015-2016
Unknown 13:45,Aue,Preussen Munster,1.7,3.71,4.84,3-0,2015-2016
Unknown 13:45,SG Dynamo Dresden,Grossaspach,1.7,3.91,4.46,2-1,2015-2016
Unknown 13:45,Cottbus,Mainz II,1.49,4.19,6.36,2-3,2015-2016
Unknown 13:45,Hansa Rostock,Hallescher,2.24,3.37,3.11,3-1,2015-2016
Unknown 13:45,Holstein Kiel,Erfurt,1.63,3.6,5.16,0-3,2015-2016
Unknown 13:45,Magdeburg,Wurzburger Kickers,1.95,3.58,3.58,0-1,2015-2016
Unknown 13:45,Stutt. Kickers,Chemnitzer,2.09,3.31,3.39,0-1,2015-2016
Unknown 13:45,VfL Osnabruck,Fortuna Koln,1.51,4.11,5.89,1-3,2015-2016
Unknown 13:45,Wehen,Stuttgart II,1.35,4.9,8.36,3-1,2015-2016
07 May 2016 13:30,Chemnitzer,VfL Osnabruck,2.33,3.33,2.99,2-1,2015-2016
Unknown 13:30,Erfurt,Cottbus,2.71,3.21,2.49,0-1,2015-2016
Unknown 13:30,Fortuna Koln,Aue,4.82,3.81,1.69,0-2,2015-2016
Unknown 13:30,Hallescher,Aalen,2.02,3.41,3.62,3-1,2015-2016
Unknown 13:30,Mainz II,Hansa Rostock,2.14,3.33,3.38,4-0,2015-2016
Unknown 13:30,Preussen Munster,SG Dynamo Dresden,3.12,3.19,2.33,2-3,2015-2016
Unknown 13:30,Grossaspach,Wehen,2.25,3.25,3.14,0-1,2015-2016
Unknown 13:30,Stuttgart II,Magdeburg,4.47,3.65,1.68,0-1,2015-2016
Unknown 13:30,Werder Bremen II,Stutt. Kickers,2.37,3.4,2.86,1-0,2015-2016
Unknown 13:30,Wurzburger Kickers,Holstein Kiel,1.68,3.4,5.21,1-1,2015-2016
30 Apr 2016 14:00,Aalen,Mainz II,2.35,3.08,3.19,3-2,2015-2016
Unknown 14:00,SG Dynamo Dresden,Aue,2.41,3.07,3.04,1-1,2015-2016
Unknown 14:00,Cottbus,Wurzburger Kickers,4.17,3.21,1.95,1-2,2015-2016
Unknown 14:00,Hansa Rostock,Erfurt,1.73,3.6,4.82,3-1,2015-2016
Unknown 14:00,Holstein Kiel,Stuttgart II,1.56,3.87,6.14,1-0,2015-2016
Unknown 14:00,Magdeburg,Grossaspach,2.49,3.23,2.83,4-0,2015-2016
Unknown 14:00,Stutt. Kickers,Hallescher,2.04,3.37,3.6,1-0,2015-2016
Unknown 14:00,VfL Osnabruck,Werder Bremen II,1.81,3.57,4.28,3-1,2015-2016
29 Apr 2016 19:00,Fortuna Koln,Chemnitzer,3.01,3.25,2.31,0-3,2015-2016
Unknown 19:00,Wehen,Preussen Munster,1.76,3.54,4.52,0-2,2015-2016
24 Apr 2016 14:00,Aue,Chemnitzer,1.87,3.34,4.35,2-0,2015-2016
23 Apr 2016 14:00,SG Dynamo Dresden,Wehen,1.78,3.49,4.62,4-0,2015-2016
Unknown 14:00,Erfurt,Aalen,2.26,3.2,3.26,2-0,2015-2016
Unknown 14:00,Hallescher,VfL Osnabruck,2.32,3.24,3.11,1-0,2015-2016
Unknown 14:00,Mainz II,Stutt. Kickers,2.32,3.18,3.15,1-2,2015-2016
Unknown 14:00,Grossaspach,Holstein Kiel,2.09,3.22,3.63,0-0,2015-2016
Unknown 14:00,Wurzburger Kickers,Hansa Rostock,1.72,3.49,5.12,2-1,2015-2016
22 Apr 2016 19:00,Preussen Munster,Magdeburg,2.12,3.32,3.47,1-2,2015-2016
Unknown 19:00,Stuttgart II,Cottbus,2.09,3.42,3.4,0-1,2015-2016
Unknown 19:00,Werder Bremen II,Fortuna Koln,2.08,3.34,3.53,1-3,2015-2016
17 Apr 2016 14:00,Fortuna Koln,Hallescher,2.49,3.27,2.8,0-2,2015-2016
16 Apr 2016 14:00,Chemnitzer,Werder Bremen II,1.77,3.51,4.66,2-1,2015-2016
Unknown 14:00,Cottbus,Grossaspach,2.38,3.22,3.0,0-5,2015-2016
Unknown 14:00,Hansa Rostock,Stuttgart II,1.64,3.71,5.46,2-0,2015-2016
Unknown 14:00,Holstein Kiel,Preussen Munster,1.76,3.46,4.56,0-0,2015-2016
Unknown 14:00,Magdeburg,SG Dynamo Dresden,3.17,3.18,2.28,2-2,2015-2016
Unknown 14:00,Stutt. Kickers,Erfurt,1.94,3.42,3.77,0-1,2015-2016
Unknown 14:00,VfL Osnabruck,Mainz II,1.82,3.45,4.5,1-1,2015-2016
15 Apr 2016 19:00,Aalen,Wurzburger Kickers,3.37,3.06,2.28,0-1,2015-2016
Unknown 19:00,Wehen,Aue,3.08,3.12,2.37,1-0,2015-2016
10 Apr 2016 14:00,Hallescher,Chemnitzer,2.55,3.11,2.84,1-2,2015-2016
09 Apr 2016 14:00,Aue,Werder Bremen II,1.57,3.84,5.98,1-0,2015-2016
Unknown 14:00,SG Dynamo Dresden,Holstein Kiel,1.81,3.47,4.48,0-0,2015-2016
Unknown 14:00,Erfurt,VfL Osnabruck,2.65,3.07,2.76,4-2,2015-2016
Unknown 14:00,Mainz II,Fortuna Koln,2.49,3.15,2.8,0-1,2015-2016
Unknown 14:00,Preussen Munster,Cottbus,2.29,3.09,3.32,3-0,2015-2016
Unknown 14:00,Stuttgart II,Aalen,2.63,3.11,2.75,1-1,2015-2016
Unknown 14:00,Wurzburger Kickers,Stutt. Kickers,1.94,3.32,4.08,2-1,2015-2016
08 Apr 2016 19:00,Grossaspach,Hansa Rostock,2.15,3.25,3.38,0-1,2015-2016
Unknown 19:00,Wehen,Magdeburg,2.4,3.12,3.07,0-0,2015-2016
02 Apr 2016 15:30,Stutt. Kickers,Stuttgart II,1.82,3.54,4.29,4-1,2015-2016
Unknown 14:00,Aalen,Grossaspach,2.6,3.21,2.72,0-1,2015-2016
Unknown 14:00,Chemnitzer,Mainz II,1.98,3.29,3.9,5-1,2015-2016
Unknown 14:00,Cottbus,SG Dynamo Dresden,3.37,3.18,2.16,0-2,2015-2016
Unknown 14:00,Fortuna Koln,Erfurt,2.03,3.4,3.61,1-3,2015-2016
Unknown 14:00,Hansa Rostock,Preussen Munster,1.75,3.39,4.82,0-0,2015-2016
Unknown 14:00,Holstein Kiel,Wehen,1.58,3.8,6.0,1-1,2015-2016
Unknown 14:00,VfL Osnabruck,Wurzburger Kickers,2.88,3.14,2.52,1-1,2015-2016
Unknown 14:00,Werder Bremen II,Hallescher,2.67,3.16,2.67,2-0,2015-2016
01 Apr 2016 20:30,Magdeburg,Aue,2.8,2.97,2.7,0-3,2015-2016
24 Mar 2016 19:00,Chemnitzer,Cottbus,2.31,3.03,3.33,4-0,2015-2016
20 Mar 2016 14:00,Erfurt,Chemnitzer,2.4,3.1,3.04,0-2,2015-2016
Unknown 14:00,Magdeburg,Holstein Kiel,2.31,3.19,3.15,0-1,2015-2016
19 Mar 2016 14:00,SG Dynamo Dresden,Hansa Rostock,1.57,3.8,6.21,2-2,2015-2016
Unknown 14:00,Mainz II,Werder Bremen II,1.75,3.55,4.79,2-2,2015-2016
Unknown 14:00,Preussen Munster,Aalen,2.16,3.12,3.56,0-2,2015-2016
Unknown 14:00,Grossaspach,Stutt. Kickers,2.2,3.26,3.3,1-1,2015-2016
Unknown 14:00,Wehen,Cottbus,2.36,3.16,3.07,0-0,2015-2016
18 Mar 2016 19:00,Stuttgart II,VfL Osnabruck,3.13,3.16,2.34,0-1,2015-2016
Unknown 19:00,Wurzburger Kickers,Fortuna Koln,1.63,3.67,5.45,4-1,2015-2016
Unknown 17:30,Aue,Hallescher,1.82,3.44,4.46,4-0,2015-2016
12 Mar 2016 14:00,Chemnitzer,Wurzburger Kickers,2.79,2.92,2.71,0-1,2015-2016
Unknown 14:00,Cottbus,Magdeburg,2.4,3.12,3.05,2-0,2015-2016
Unknown 14:00,Fortuna Koln,Stuttgart II,1.76,3.69,4.46,1-3,2015-2016
