matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
28 May 2024 20:30,Wehen,Regensburg,1.87,3.55,4.01,1-2,2023-2024
24 May 2024 20:30,Regensburg,Wehen,2.55,3.32,2.73,2-2,2023-2024
18 May 2024 13:30,Aue,Mannheim,2.08,3.82,3.07,2-0,2023-2024
Unknown 13:30,SG Dynamo Dresden,Duisburg,1.26,5.86,8.79,4-0,2023-2024
Unknown 13:30,Freiburg II,Viktoria Koln,2.39,3.66,2.64,1-0,2023-2024
Unknown 13:30,Hallescher,Dortmund II,2.05,3.91,3.08,1-1,2023-2024
Unknown 13:30,Lubeck,RW Essen,3.81,3.91,1.81,3-3,2023-2024
Unknown 13:30,Munich 1860,Arminia Bielefeld,2.85,3.67,2.24,0-2,2023-2024
Unknown 13:30,Preussen Munster,Unterhaching,1.35,5.42,6.8,2-0,2023-2024
Unknown 13:30,Regensburg,Saarbrucken,2.17,3.74,2.99,0-1,2023-2024
Unknown 13:30,Sandhausen,Ingolstadt,2.61,3.77,2.37,1-1,2023-2024
Unknown 13:30,Ulm,Verl,1.82,3.87,3.78,4-2,2023-2024
12 May 2024 19:30,Saarbrucken,Freiburg II,1.43,4.79,6.26,2-1,2023-2024
Unknown 16:30,Verl,Preussen Munster,3.26,3.68,2.07,2-0,2023-2024
Unknown 13:30,Duisburg,Aue,2.85,3.54,2.29,2-2,2023-2024
11 May 2024 16:30,Mannheim,Sandhausen,1.82,3.85,3.81,4-2,2023-2024
Unknown 14:00,Arminia Bielefeld,Hallescher,1.79,3.78,4.06,0-0,2023-2024
Unknown 14:00,Dortmund II,Ulm,3.04,3.67,2.13,1-2,2023-2024
Unknown 14:00,Viktoria Koln,Regensburg,3.81,3.7,1.86,1-1,2023-2024
Unknown 14:00,Ingolstadt,Lubeck,1.45,4.67,6.05,6-1,2023-2024
Unknown 14:00,Unterhaching,SG Dynamo Dresden,4.06,3.84,1.78,1-2,2023-2024
10 May 2024 19:00,RW Essen,Munich 1860,1.87,3.71,3.8,0-1,2023-2024
05 May 2024 19:30,Ingolstadt,Mannheim,2.19,3.72,2.92,1-1,2023-2024
Unknown 16:30,Hallescher,Unterhaching,1.79,3.78,4.12,0-1,2023-2024
Unknown 13:30,Preussen Munster,Saarbrucken,2.41,3.63,2.67,4-1,2023-2024
04 May 2024 16:30,Sandhausen,RW Essen,2.72,3.94,2.25,2-0,2023-2024
Unknown 14:00,Aue,Arminia Bielefeld,2.75,3.46,2.38,1-0,2023-2024
Unknown 14:00,SG Dynamo Dresden,Verl,1.52,4.42,5.2,0-1,2023-2024
Unknown 14:00,Freiburg II,Regensburg,5.13,3.97,1.61,3-1,2023-2024
Unknown 14:00,Munich 1860,Dortmund II,1.84,3.75,3.84,1-2,2023-2024
Unknown 14:00,Ulm,Viktoria Koln,1.51,4.25,5.75,2-0,2023-2024
03 May 2024 19:00,Lubeck,Duisburg,3.3,3.53,2.08,5-3,2023-2024
28 Apr 2024 19:30,Unterhaching,Munich 1860,2.79,3.32,2.41,2-0,2023-2024
Unknown 16:30,Freiburg II,Ulm,6.11,3.9,1.52,1-2,2023-2024
Unknown 13:30,RW Essen,Ingolstadt,2.14,3.83,2.92,4-0,2023-2024
27 Apr 2024 16:30,Verl,Mannheim,2.51,3.55,2.51,1-1,2023-2024
Unknown 14:00,Dortmund II,Aue,2.25,3.55,2.84,2-2,2023-2024
