matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
19 May 2014 20:30,Arminia Bielefeld,Darmstadt,2.22,3.28,3.29,2-4,2013-2014
16 May 2014 20:30,Darmstadt,Arminia Bielefeld,2.26,3.26,3.18,1-3,2013-2014
10 May 2014 13:30,Chemnitzer,Stuttgart II,1.86,3.39,4.06,0-0,2013-2014
Unknown 13:30,Darmstadt,Holstein Kiel,2.27,3.2,3.04,1-3,2013-2014
Unknown 13:30,Dortmund II,Elversberg,2.1,3.44,3.3,3-0,2013-2014
Unknown 13:30,Duisburg,Preussen Munster,2.18,3.3,3.14,0-1,2013-2014
Unknown 13:30,Hallescher,Burghausen,1.63,3.71,5.04,2-4,2013-2014
Unknown 13:30,Hansa Rostock,Wehen,2.9,3.25,2.35,1-1,2013-2014
Unknown 13:30,Heidenheim,Unterhaching,1.54,3.97,5.84,2-0,2013-2014
Unknown 13:30,Regensburg,VfL Osnabruck,3.03,3.32,2.24,0-0,2013-2014
Unknown 13:30,Saarbrucken,Erfurt,2.25,3.38,2.94,0-1,2013-2014
Unknown 13:30,Stutt. Kickers,RB Leipzig,2.24,3.32,3.03,1-3,2013-2014
03 May 2014 13:30,Burghausen,Stutt. Kickers,2.98,3.25,2.3,2-0,2013-2014
Unknown 13:30,Elversberg,Chemnitzer,1.76,3.58,4.53,1-1,2013-2014
Unknown 13:30,Erfurt,Hansa Rostock,2.12,3.29,3.3,1-1,2013-2014
Unknown 13:30,Holstein Kiel,Dortmund II,1.76,3.53,4.43,0-0,2013-2014
Unknown 13:30,Preussen Munster,Hallescher,1.8,3.55,4.15,2-3,2013-2014
Unknown 13:30,RB Leipzig,Saarbrucken,1.23,5.38,12.5,5-1,2013-2014
Unknown 13:30,Unterhaching,Duisburg,2.09,3.31,3.35,4-1,2013-2014
Unknown 13:30,Stuttgart II,Regensburg,2.41,3.26,2.81,1-1,2013-2014
Unknown 13:30,VfL Osnabruck,Heidenheim,2.76,3.25,2.45,1-0,2013-2014
Unknown 13:30,Wehen,Darmstadt,2.53,3.19,2.71,0-1,2013-2014
26 Apr 2014 14:00,Chemnitzer,Holstein Kiel,2.44,3.05,2.92,2-1,2013-2014
Unknown 14:00,Hallescher,Duisburg,2.22,3.22,3.16,1-1,2013-2014
Unknown 14:00,Hansa Rostock,RB Leipzig,4.25,3.36,1.83,0-1,2013-2014
Unknown 14:00,Heidenheim,Stuttgart II,1.55,3.83,5.84,0-1,2013-2014
Unknown 14:00,Regensburg,Elversberg,1.9,3.46,3.83,0-0,2013-2014
Unknown 14:00,Saarbrucken,Burghausen,1.72,3.59,4.62,1-1,2013-2014
Unknown 14:00,Stutt. Kickers,Preussen Munster,2.29,3.25,2.96,1-1,2013-2014
25 Apr 2014 19:00,Darmstadt,Erfurt,1.44,4.04,7.06,2-1,2013-2014
Unknown 19:00,Dortmund II,Wehen,2.33,3.23,2.92,1-4,2013-2014
Unknown 19:00,Unterhaching,VfL Osnabruck,3.03,3.23,2.31,3-0,2013-2014
20 Apr 2014 14:00,Preussen Munster,Saarbrucken,2.03,3.33,3.51,2-0,2013-2014
19 Apr 2014 14:00,Burghausen,Hansa Rostock,2.35,3.18,2.99,0-1,2013-2014
Unknown 14:00,Duisburg,VfL Osnabruck,2.41,3.17,2.89,1-0,2013-2014
