fotmob_match_id,season,round,round_name,home_team,home_team_id,away_team,away_team_id,finished,match_date,home_score,away_score,home_possession,away_possession,home_shots_total,away_shots_total,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_passes,away_passes,home_passes_accurate,away_passes_accurate,home_pass_accuracy_pct,away_pass_accuracy_pct,home_touches_opp_box,away_touches_opp_box,home_corners,away_corners,home_tackles,away_tackles,home_interceptions,away_interceptions,home_clearances,away_clearances,home_keeper_saves,away_keeper_saves,home_duels_won,away_duels_won,home_aerials_won,away_aerials_won,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,has_stats
2013211,2015-2016,1,1,Magdeburg,8188,RW Erfurt,8148,True,2015-07-24T18:30:00Z,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2013218,2015-2016,1,1,Aalen,8233,Chemnitzer FC,6596,True,2015-07-25T12:00:00Z,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2013213,2015-2016,1,1,Dynamo Dresden,8480,VfB Stuttgart II,8458,True,2015-07-25T12:00:00Z,4,1,36.0,64.0,9.0,15.0,3.0,4.0,2.0,6.0,0.0,1.0,0.0,0.0,293.0,502.0,204.0,399.0,70.0,79.0,15.0,40.0,2.0,11.0,31.0,19.0,11.0,6.0,51.0,17.0,2.0,1.0,73.0,63.0,24.0,23.0,15.0,15.0,7.0,3.0,1.0,0.0,True
2013217,2015-2016,1,1,Hansa Rostock,8294,Werder Bremen II,8162,True,2015-07-25T12:00:00Z,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2013215,2015-2016,1,1,Holstein Kiel,8150,Mainz 05 II,8397,True,2015-07-25T12:00:00Z,0,4,41.0,59.0,12.0,17.0,5.0,4.0,5.0,7.0,2.0,3.0,1.0,2.0,337.0,477.0,255.0,381.0,76.0,80.0,21.0,28.0,4.0,7.0,12.0,11.0,5.0,9.0,25.0,26.0,2.0,3.0,46.0,54.0,9.0,19.0,18.0,18.0,5.0,4.0,0.0,0.0,True
2013220,2015-2016,1,1,Preussen Münster,8171,Sonnenhof Großaspach,94941,True,2015-07-25T12:00:00Z,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2013219,2015-2016,1,1,Stuttgarter Kickers,8195,Fortuna Köln,7786,True,2015-07-25T12:00:00Z,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2013214,2015-2016,1,1,Wehen Wiesbaden,8196,Würzburger Kickers,145486,True,2015-07-25T12:00:00Z,0,0,54.0,46.0,14.0,6.0,2.0,4.0,9.0,1.0,0.0,3.0,0.0,3.0,429.0,359.0,321.0,220.0,75.0,61.0,14.0,22.0,8.0,5.0,13.0,7.0,7.0,8.0,21.0,24.0,3.0,2.0,52.0,41.0,24.0,17.0,13.0,10.0,1.0,2.0,0.0,0.0,True
2013212,2015-2016,1,1,Erzgebirge Aue,8319,VfL Osnabrück,9775,True,2015-07-25T12:05:00Z,0,0,43.0,57.0,13.0,16.0,3.0,6.0,6.0,6.0,2.0,2.0,0.0,1.0,332.0,444.0,250.0,373.0,75.0,84.0,19.0,25.0,5.0,5.0,18.0,11.0,9.0,5.0,32.0,17.0,4.0,0.0,54.0,35.0,21.0,16.0,9.0,12.0,0.0,1.0,0.0,1.0,True
2013216,2015-2016,1,1,Energie Cottbus,8398,Hallescher FC,7761,True,2015-07-26T12:05:00Z,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
