matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
28 May 2019 18:15,Ingolstadt,Wehen,1.73,3.75,4.42,2-3,2018-2019
24 May 2019 18:15,Wehen,Ingolstadt,3.06,3.17,2.38,1-2,2018-2019
18 May 2019 13:30,Aalen,Hansa Rostock,2.98,3.72,2.16,1-1,2018-2019
Unknown 13:30,Braunschweig,Cottbus,1.9,3.47,4.05,1-1,2018-2019
Unknown 13:30,Fortuna Koln,Grossaspach,4.04,4.01,1.76,0-2,2018-2019
Unknown 13:30,Jena,Munich 1860,1.58,4.18,5.15,4-0,2018-2019
Unknown 13:30,Kaiserslautern,Meppen,1.77,3.85,4.22,4-2,2018-2019
Unknown 13:30,Karlsruher SC,Hallescher,1.9,3.68,3.7,2-3,2018-2019
Unknown 13:30,Lotte,Wurzburger Kickers,2.46,3.59,2.61,1-2,2018-2019
Unknown 13:30,Uerdingen,Wehen,2.98,3.64,2.22,2-3,2018-2019
Unknown 13:30,VfL Osnabruck,Unterhaching,1.65,3.92,4.88,1-4,2018-2019
Unknown 13:30,Zwickau,Preussen Munster,2.08,3.7,3.2,2-0,2018-2019
11 May 2019 13:30,Cottbus,Aalen,1.5,4.3,5.69,2-1,2018-2019
Unknown 13:30,Hallescher,Braunschweig,2.11,3.32,3.34,1-0,2018-2019
Unknown 13:30,Hansa Rostock,Uerdingen,1.65,3.91,4.68,1-1,2018-2019
Unknown 13:30,Meppen,Jena,2.69,3.57,2.37,0-1,2018-2019
Unknown 13:30,Munich 1860,Fortuna Koln,2.24,3.38,3.04,3-2,2018-2019
Unknown 13:30,Preussen Munster,Karlsruher SC,3.69,3.59,1.91,1-4,2018-2019
Unknown 13:30,Grossaspach,Zwickau,2.02,3.42,3.5,5-2,2018-2019
Unknown 13:30,Unterhaching,Lotte,1.97,3.25,3.9,3-0,2018-2019
Unknown 13:30,Wehen,VfL Osnabruck,1.66,3.93,4.65,1-0,2018-2019
Unknown 13:30,Wurzburger Kickers,Kaiserslautern,2.1,3.44,3.31,2-0,2018-2019
06 May 2019 19:00,Fortuna Koln,Meppen,1.87,3.62,3.78,1-1,2018-2019
05 May 2019 14:00,Aalen,Braunschweig,4.21,3.66,1.78,1-3,2018-2019
