matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
05 May 2012 13:30,Aalen,VfL Osnabruck,2.01,3.46,3.51,0-4,2011-2012
Unknown 13:30,Arminia Bielefeld,Werder Bremen II,1.53,4.13,5.8,1-0,2011-2012
Unknown 13:30,Burghausen,Chemnitzer,2.42,3.32,2.79,3-0,2011-2012
Unknown 13:30,Darmstadt,Stuttgart II,1.86,3.48,4.06,2-2,2011-2012
Unknown 13:30,Erfurt,Oberhausen,1.52,4.09,6.04,4-0,2011-2012
Unknown 13:30,Preussen Munster,Offenbach,2.61,3.24,2.61,1-0,2011-2012
Unknown 13:30,Regensburg,Jena,1.54,4.03,5.38,1-1,2011-2012
Unknown 13:30,Saarbrucken,Unterhaching,1.59,3.92,5.34,4-2,2011-2012
Unknown 13:30,Sandhausen,Heidenheim,2.24,3.33,3.04,1-2,2011-2012
Unknown 13:30,Wehen,Babelsberg,1.7,3.73,4.57,2-2,2011-2012
28 Apr 2012 13:30,Babelsberg,Arminia Bielefeld,2.33,3.25,2.97,1-0,2011-2012
Unknown 13:30,Chemnitzer,Erfurt,2.06,3.38,3.46,0-2,2011-2012
Unknown 13:30,Heidenheim,Preussen Munster,1.52,3.9,6.34,4-1,2011-2012
Unknown 13:30,Jena,Wehen,2.41,3.2,2.89,1-0,2011-2012
Unknown 13:30,Offenbach,Saarbrucken,1.55,3.87,5.94,2-3,2011-2012
Unknown 13:30,Oberhausen,Regensburg,2.81,3.23,2.44,1-2,2011-2012
Unknown 13:30,Unterhaching,Burghausen,2.15,3.39,3.22,4-0,2011-2012
Unknown 13:30,Stuttgart II,Aalen,3.23,3.2,2.22,2-2,2011-2012
Unknown 13:30,VfL Osnabruck,Sandhausen,2.17,3.29,3.24,2-1,2011-2012
Unknown 13:30,Werder Bremen II,Darmstadt,2.95,3.22,2.35,0-4,2011-2012
21 Apr 2012 14:00,Aalen,Werder Bremen II,1.25,4.98,11.17,2-0,2011-2012
Unknown 14:00,Arminia Bielefeld,Jena,2.0,3.36,3.69,2-1,2011-2012
Unknown 14:00,Burghausen,Offenbach,2.22,3.3,3.1,2-3,2011-2012
Unknown 14:00,Darmstadt,Babelsberg,1.78,3.44,4.55,3-1,2011-2012
Unknown 14:00,Erfurt,Unterhaching,1.83,3.46,4.18,2-1,2011-2012
Unknown 14:00,Preussen Munster,Sandhausen,2.58,3.2,2.67,1-2,2011-2012
Unknown 14:00,Regensburg,Chemnitzer,2.36,3.22,2.91,1-0,2011-2012
Unknown 14:00,Saarbrucken,Heidenheim,2.53,3.22,2.73,0-0,2011-2012
Unknown 14:00,Wehen,Oberhausen,2.06,3.31,3.49,1-0,2011-2012
20 Apr 2012 19:00,VfL Osnabruck,Stuttgart II,1.65,3.68,5.2,0-1,2011-2012
15 Apr 2012 14:00,Offenbach,Erfurt,2.16,3.28,3.29,2-0,2011-2012
Unknown 14:00,Oberhausen,Arminia Bielefeld,2.13,3.28,3.37,0-1,2011-2012
14 Apr 2012 14:00,Babelsberg,Aalen,3.63,3.26,2.03,2-0,2011-2012
Unknown 14:00,Chemnitzer,Wehen,1.77,3.58,4.39,1-1,2011-2012
Unknown 14:00,Heidenheim,Burghausen,1.93,3.41,3.78,1-1,2011-2012
Unknown 14:00,Jena,Darmstadt,2.3,3.28,2.97,2-1,2011-2012
Unknown 14:00,Preussen Munster,Saarbrucken,2.12,3.26,3.37,1-0,2011-2012
Unknown 14:00,Sandhausen,Stuttgart II,1.53,3.9,6.06,1-0,2011-2012
Unknown 14:00,Unterhaching,Regensburg,2.26,3.27,3.09,2-3,2011-2012
Unknown 14:00,Werder Bremen II,VfL Osnabruck,2.97,3.25,2.26,0-2,2011-2012
11 Apr 2012 19:00,Arminia Bielefeld,Chemnitzer,2.87,3.15,2.46,3-1,2011-2012
Unknown 19:00,Burghausen,Preussen Munster,1.93,3.33,3.94,1-0,2011-2012
Unknown 19:00,Darmstadt,Oberhausen,1.97,3.32,3.79,1-1,2011-2012
Unknown 19:00,Regensburg,Offenbach,1.86,3.33,4.29,1-3,2011-2012
Unknown 19:00,Stuttgart II,Werder Bremen II,1.66,3.59,5.25,1-0,2011-2012
10 Apr 2012 19:00,Aalen,Jena,1.71,3.54,4.88,4-1,2011-2012
Unknown 19:00,Erfurt,Heidenheim,2.45,3.23,2.78,2-0,2011-2012
Unknown 19:00,Saarbrucken,Sandhausen,2.41,3.31,2.8,2-1,2011-2012
Unknown 19:00,VfL Osnabruck,Babelsberg,1.66,3.59,5.25,1-0,2011-2012
Unknown 19:00,Wehen,Unterhaching,2.02,3.38,3.54,0-0,2011-2012
08 Apr 2012 14:00,Chemnitzer,Darmstadt,1.72,3.63,4.62,0-0,2011-2012
07 Apr 2012 14:00,Babelsberg,Stuttgart II,2.14,3.24,3.38,1-4,2011-2012
Unknown 14:00,Heidenheim,Regensburg,1.84,3.44,4.2,0-0,2011-2012
Unknown 14:00,Jena,VfL Osnabruck,2.4,3.22,2.87,2-0,2011-2012
Unknown 14:00,Offenbach,Wehen,2.07,3.23,3.58,0-2,2011-2012
Unknown 14:00,Preussen Munster,Erfurt,2.39,3.16,2.97,3-2,2011-2012
Unknown 14:00,Oberhausen,Aalen,2.49,3.19,2.77,0-0,2011-2012
Unknown 14:00,Saarbrucken,Burghausen,2.01,3.34,3.67,0-0,2011-2012
Unknown 14:00,Sandhausen,Werder Bremen II,1.34,4.59,9.19,2-0,2011-2012
Unknown 14:00,Unterhaching,Arminia Bielefeld,2.22,3.25,3.21,5-0,2011-2012
03 Apr 2012 18:30,Preussen Munster,VfL Osnabruck,2.4,3.2,2.88,1-0,2011-2012
01 Apr 2012 14:00,Stuttgart II,Jena,2.37,3.18,2.99,3-0,2011-2012
Unknown 14:00,Werder Bremen II,Babelsberg,2.36,3.18,2.99,1-2,2011-2012
31 Mar 2012 14:00,Aalen,Chemnitzer,2.26,3.23,3.11,0-2,2011-2012
Unknown 14:00,Arminia Bielefeld,Offenbach,2.24,3.24,3.16,1-1,2011-2012
Unknown 14:00,Burghausen,Sandhausen,2.26,3.21,3.13,0-0,2011-2012
Unknown 14:00,Darmstadt,Unterhaching,1.81,3.47,4.31,0-0,2011-2012
Unknown 14:00,Erfurt,Saarbrucken,1.91,3.32,4.04,1-1,2011-2012
Unknown 14:00,Regensburg,Preussen Munster,2.04,3.29,3.6,2-1,2011-2012
Unknown 14:00,VfL Osnabruck,Oberhausen,1.74,3.44,4.83,1-1,2011-2012
Unknown 14:00,Wehen,Heidenheim,2.54,3.1,2.79,1-2,2011-2012
28 Mar 2012 18:30,Darmstadt,Erfurt,2.44,3.23,2.83,1-1,2011-2012
27 Mar 2012 19:00,Babelsberg,Offenbach,2.82,3.25,2.42,0-1,2011-2012
Unknown 19:00,Preussen Munster,Jena,2.05,3.3,3.54,1-0,2011-2012
24 Mar 2012 14:00,Burghausen,Erfurt,2.32,3.26,2.98,1-1,2011-2012
Unknown 14:00,Chemnitzer,VfL Osnabruck,2.05,3.19,3.7,3-1,2011-2012
Unknown 14:00,Heidenheim,Arminia Bielefeld,1.78,3.46,4.56,2-1,2011-2012
Unknown 14:00,Jena,Werder Bremen II,1.67,3.59,5.13,3-1,2011-2012
Unknown 14:00,Offenbach,Darmstadt,2.09,3.2,3.55,1-1,2011-2012
Unknown 14:00,Preussen Munster,Wehen,2.01,3.28,3.7,1-1,2011-2012
Unknown 14:00,Oberhausen,Stuttgart II,1.91,3.31,4.06,2-1,2011-2012
Unknown 14:00,Saarbrucken,Regensburg,2.19,3.25,3.23,1-0,2011-2012
Unknown 14:00,Sandhausen,Babelsberg,1.53,3.77,6.37,4-0,2011-2012
Unknown 14:00,Unterhaching,Aalen,2.67,3.19,2.58,1-1,2011-2012
21 Mar 2012 19:00,Regensburg,VfL Osnabruck,2.43,3.12,2.93,0-3,2011-2012
20 Mar 2012 19:00,Offenbach,Jena,1.76,3.48,4.61,1-1,2011-2012
17 Mar 2012 14:00,Aalen,Offenbach,2.15,3.27,3.32,2-1,2011-2012
Unknown 14:00,Arminia Bielefeld,Preussen Munster,2.37,3.21,2.96,2-2,2011-2012
Unknown 14:00,Babelsberg,Jena,2.39,3.24,2.91,0-0,2011-2012
Unknown 14:00,Darmstadt,Heidenheim,2.36,3.22,2.96,2-1,2011-2012
Unknown 14:00,Erfurt,Sandhausen,2.12,3.29,3.37,4-2,2011-2012
Unknown 14:00,Regensburg,Burghausen,2.13,3.31,3.35,0-1,2011-2012
Unknown 14:00,VfL Osnabruck,Unterhaching,1.81,3.56,4.75,4-1,2011-2012
Unknown 14:00,Wehen,Saarbrucken,2.25,3.24,3.12,3-2,2011-2012
Unknown 14:00,Werder Bremen II,Oberhausen,2.6,3.22,2.64,0-1,2011-2012
16 Mar 2012 18:30,Stuttgart II,Chemnitzer,3.14,3.26,2.25,0-1,2011-2012
14 Mar 2012 19:00,Unterhaching,Oberhausen,2.01,3.33,3.63,1-2,2011-2012
Unknown 19:00,Werder Bremen II,Heidenheim,3.47,3.24,2.12,2-1,2011-2012
13 Mar 2012 19:00,Regensburg,Darmstadt,2.09,3.24,3.53,2-1,2011-2012
Unknown 19:00,Stuttgart II,Preussen Munster,2.77,3.14,2.53,1-1,2011-2012
13 Mar 2012 19:00,Saarbrucken,Aalen,2.34,3.22,2.97,4-2,2011-2012
11 Mar 2012 14:00,Chemnitzer,Werder Bremen II,1.57,3.79,5.68,2-0,2011-2012
10 Mar 2012 14:00,Burghausen,Wehen,1.94,3.38,3.82,2-2,2011-2012
Unknown 14:00,Erfurt,Regensburg,1.98,3.23,3.87,2-2,2011-2012
Unknown 14:00,Offenbach,VfL Osnabruck,2.33,3.09,3.07,3-0,2011-2012
Unknown 14:00,Preussen Munster,Darmstadt,2.09,3.24,3.48,1-2,2011-2012
Unknown 14:00,Oberhausen,Babelsberg,2.0,3.3,3.72,1-0,2011-2012
Unknown 14:00,Saarbrucken,Arminia Bielefeld,2.0,3.3,3.7,2-4,2011-2012
Unknown 14:00,Sandhausen,Jena,1.77,3.46,4.67,1-0,2011-2012
Unknown 14:00,Unterhaching,Stuttgart II,2.11,3.24,3.39,4-0,2011-2012
Unknown 13:30,Heidenheim,Aalen,2.28,3.22,3.05,3-1,2011-2012
07 Mar 2012 19:00,Burghausen,VfL Osnabruck,2.45,3.16,2.9,2-0,2011-2012
Unknown 19:00,Unterhaching,Offenbach,2.65,3.16,2.69,2-0,2011-2012
Unknown 18:30,Sandhausen,Chemnitzer,2.15,3.21,3.48,0-3,2011-2012
04 Mar 2012 14:00,Darmstadt,Saarbrucken,2.28,3.29,3.03,1-0,2011-2012
03 Mar 2012 14:00,Aalen,Preussen Munster,1.9,3.34,4.05,1-0,2011-2012
Unknown 14:00,Arminia Bielefeld,Burghausen,2.17,3.28,3.28,2-2,2011-2012
Unknown 14:00,Babelsberg,Chemnitzer,2.89,3.17,2.47,0-0,2011-2012
Unknown 14:00,Jena,Oberhausen,2.13,3.28,3.35,0-0,2011-2012
Unknown 14:00,Regensburg,Sandhausen,2.24,3.27,3.13,1-1,2011-2012
Unknown 14:00,Stuttgart II,Offenbach,2.51,3.17,2.8,0-0,2011-2012
Unknown 14:00,VfL Osnabruck,Heidenheim,1.94,3.32,3.96,0-0,2011-2012
Unknown 14:00,Wehen,Erfurt,2.52,3.23,2.72,0-1,2011-2012
Unknown 14:00,Werder Bremen II,Unterhaching,2.4,3.26,2.85,1-1,2011-2012
28 Feb 2012 19:00,Erfurt,Aalen,2.13,3.29,3.34,0-1,2011-2012
Unknown 19:00,Jena,Heidenheim,2.79,3.18,2.48,0-0,2011-2012
Unknown 19:00,Stuttgart II,Burghausen,2.51,3.16,2.79,2-3,2011-2012
25 Feb 2012 14:00,Burghausen,Darmstadt,2.02,3.32,3.64,1-1,2011-2012
Unknown 14:00,Chemnitzer,Jena,1.74,3.51,4.71,1-1,2011-2012
Unknown 14:00,Erfurt,Arminia Bielefeld,1.96,3.35,3.8,1-1,2011-2012
Unknown 14:00,Heidenheim,Stuttgart II,1.65,3.64,5.29,1-0,2011-2012
Unknown 14:00,Offenbach,Werder Bremen II,1.67,3.61,5.05,3-0,2011-2012
Unknown 14:00,Regensburg,Wehen,1.99,3.33,3.71,2-1,2011-2012
Unknown 14:00,Sandhausen,Oberhausen,1.63,3.64,5.5,2-1,2011-2012
Unknown 14:00,Unterhaching,Babelsberg,1.83,3.46,4.19,1-2,2011-2012
22 Feb 2012 19:00,Jena,Unterhaching,2.22,3.3,3.14,2-0,2011-2012
21 Feb 2012 19:00,Wehen,Arminia Bielefeld,2.24,3.23,3.14,0-0,2011-2012
18 Feb 2012 14:00,Aalen,Burghausen,1.85,3.39,4.19,2-0,2011-2012
Unknown 14:00,Arminia Bielefeld,Regensburg,2.28,3.26,3.02,1-1,2011-2012
Unknown 14:00,Oberhausen,Chemnitzer,2.82,3.15,2.47,2-2,2011-2012
Unknown 14:00,Wehen,Sandhausen,2.41,3.23,2.81,0-4,2011-2012
17 Feb 2012 19:00,VfL Osnabruck,Saarbrucken,1.98,3.33,3.71,2-0,2011-2012
14 Feb 2012 19:00,VfL Osnabruck,Wehen,2.03,3.33,3.59,2-0,2011-2012
11 Feb 2012 14:00,Heidenheim,Babelsberg,1.63,3.7,5.26,5-0,2011-2012
Unknown 14:00,Saarbrucken,Stuttgart II,1.8,3.46,4.35,0-0,2011-2012
10 Feb 2012 19:00,Preussen Munster,Werder Bremen II,1.69,3.62,4.82,0-0,2011-2012
07 Feb 2012 19:00,Aalen,Sandhausen,2.25,3.23,3.13,2-0,2011-2012
Unknown 19:00,VfL Osnabruck,Erfurt,2.18,3.24,3.25,2-3,2011-2012
05 Feb 2012 14:00,Werder Bremen II,Saarbrucken,2.99,3.26,2.3,2-2,2011-2012
04 Feb 2012 14:00,Arminia Bielefeld,Sandhausen,2.21,3.27,3.16,1-3,2011-2012
04 Feb 2012 14:00,Aalen,Regensburg,2.12,3.25,3.36,2-1,2011-2012
Unknown 14:00,Chemnitzer,Unterhaching,1.9,3.41,3.95,5-1,2011-2012
Unknown 14:00,Darmstadt,Wehen,2.18,3.23,3.18,0-1,2011-2012
Unknown 14:00,Oberhausen,Offenbach,2.47,3.19,2.74,1-1,2011-2012
03 Feb 2012 19:00,Babelsberg,Preussen Munster,2.58,3.17,2.64,0-2,2011-2012
31 Jan 2012 19:00,Stuttgart II,Regensburg,2.74,3.2,2.52,1-0,2011-2012
28 Jan 2012 14:00,Arminia Bielefeld,Darmstadt,1.94,3.3,3.89,3-2,2011-2012
Unknown 14:00,Burghausen,Werder Bremen II,1.74,3.44,4.6,3-1,2011-2012
Unknown 14:00,Erfurt,Stuttgart II,1.77,3.56,4.47,3-1,2011-2012
Unknown 14:00,Heidenheim,Oberhausen,1.64,3.66,5.25,1-0,2011-2012
Unknown 14:00,Offenbach,Chemnitzer,2.14,3.12,3.6,0-1,2011-2012
Unknown 14:00,Saarbrucken,Babelsberg,1.73,3.53,4.77,2-2,2011-2012
Unknown 14:00,Sandhausen,Unterhaching,2.01,3.32,3.64,3-1,2011-2012
Unknown 14:00,Wehen,Aalen,2.09,3.26,3.44,1-3,2011-2012
24 Jan 2012 19:00,Werder Bremen II,Wehen,2.78,3.22,2.47,1-1,2011-2012
21 Jan 2012 14:00,Aalen,Arminia Bielefeld,2.27,3.23,3.09,3-1,2011-2012
Unknown 14:00,Babelsberg,Burghausen,2.18,3.26,3.26,0-2,2011-2012
Unknown 14:00,Chemnitzer,Heidenheim,2.53,3.2,2.73,3-0,2011-2012
Unknown 14:00,Darmstadt,Sandhausen,2.47,3.19,2.8,4-1,2011-2012
Unknown 14:00,Jena,Saarbrucken,2.97,3.37,2.26,1-1,2011-2012
Unknown 14:00,Werder Bremen II,Erfurt,3.04,3.23,2.28,1-1,2011-2012
Unknown 13:30,Oberhausen,Preussen Munster,2.58,3.17,2.7,2-2,2011-2012
17 Dec 2011 14:00,Chemnitzer,Saarbrucken,2.85,3.26,2.38,1-0,2011-2012
Unknown 14:00,Jena,Erfurt,3.16,3.25,2.22,1-0,2011-2012
Unknown 14:00,Offenbach,Heidenheim,1.97,3.37,3.72,1-0,2011-2012
Unknown 14:00,Oberhausen,Burghausen,2.43,3.29,2.77,2-0,2011-2012
Unknown 14:00,Unterhaching,Preussen Munster,2.36,3.22,2.92,2-1,2011-2012
Unknown 14:00,Stuttgart II,Arminia Bielefeld,2.43,3.26,2.84,2-5,2011-2012
Unknown 14:00,VfL Osnabruck,Darmstadt,2.05,3.32,3.54,4-1,2011-2012
16 Dec 2011 19:00,Babelsberg,Regensburg,2.77,3.17,2.52,0-0,2011-2012
11 Dec 2011 14:00,Darmstadt,Aalen,2.11,3.3,3.33,1-2,2011-2012
Unknown 14:00,Preussen Munster,Chemnitzer,1.86,3.38,4.16,2-2,2011-2012
10 Dec 2011 14:00,Arminia Bielefeld,VfL Osnabruck,2.32,3.2,3.04,1-1,2011-2012
Unknown 14:00,Burghausen,Jena,1.76,3.62,4.41,4-2,2011-2012
Unknown 14:00,Erfurt,Babelsberg,1.66,3.63,5.27,2-3,2011-2012
Unknown 14:00,Heidenheim,Unterhaching,1.8,3.51,4.27,3-1,2011-2012
Unknown 14:00,Regensburg,Werder Bremen II,1.57,3.83,5.67,3-2,2011-2012
Unknown 14:00,Saarbrucken,Oberhausen,1.51,3.89,6.51,5-2,2011-2012
Unknown 14:00,Sandhausen,Offenbach,2.12,3.29,3.36,1-1,2011-2012
Unknown 14:00,Wehen,Stuttgart II,1.85,3.44,4.13,1-1,2011-2012
03 Dec 2011 14:00,Babelsberg,Wehen,2.68,3.26,2.52,3-2,2011-2012
Unknown 14:00,Chemnitzer,Burghausen,2.16,3.32,3.19,2-1,2011-2012
Unknown 14:00,Heidenheim,Sandhausen,2.24,3.27,3.11,2-1,2011-2012
Unknown 14:00,Jena,Regensburg,2.78,3.26,2.45,0-1,2011-2012
Unknown 14:00,Oberhausen,Erfurt,3.06,3.28,2.26,0-1,2011-2012
Unknown 14:00,VfL Osnabruck,Aalen,2.05,3.31,3.51,0-0,2011-2012
Unknown 14:00,Werder Bremen II,Arminia Bielefeld,2.6,3.25,2.59,2-3,2011-2012
02 Dec 2011 19:00,Offenbach,Preussen Munster,2.15,3.23,3.34,3-0,2011-2012
Unknown 19:00,Unterhaching,Saarbrucken,2.76,3.29,2.45,3-2,2011-2012
Unknown 19:00,Stuttgart II,Darmstadt,2.43,3.16,2.9,1-1,2011-2012
27 Nov 2011 14:00,Darmstadt,Werder Bremen II,1.84,3.42,4.25,2-0,2011-2012
26 Nov 2011 14:00,Aalen,Stuttgart II,1.96,3.36,3.88,2-2,2011-2012
Unknown 14:00,Arminia Bielefeld,Babelsberg,1.95,3.36,3.82,1-0,2011-2012
Unknown 14:00,Burghausen,Unterhaching,2.21,3.22,3.23,3-1,2011-2012
Unknown 14:00,Preussen Munster,Heidenheim,2.21,3.24,3.22,2-1,2011-2012
Unknown 14:00,Regensburg,Oberhausen,1.66,3.6,5.25,0-0,2011-2012
Unknown 14:00,Saarbrucken,Offenbach,2.09,3.28,3.45,3-1,2011-2012
Unknown 14:00,Wehen,Jena,1.55,3.85,5.92,0-0,2011-2012
25 Nov 2011 19:30,Erfurt,Chemnitzer,1.79,3.46,4.47,0-0,2011-2012
Unknown 19:00,Sandhausen,VfL Osnabruck,1.98,3.35,3.71,0-0,2011-2012
19 Nov 2011 14:00,Babelsberg,Darmstadt,2.32,3.21,3.0,1-1,2011-2012
Unknown 14:00,Chemnitzer,Regensburg,2.38,3.21,2.92,0-3,2011-2012
Unknown 14:00,Heidenheim,Saarbrucken,2.25,3.23,3.12,1-1,2011-2012
Unknown 14:00,Jena,Arminia Bielefeld,2.81,3.25,2.44,4-3,2011-2012
Unknown 14:00,Offenbach,Burghausen,1.83,3.43,4.3,2-2,2011-2012
Unknown 14:00,Oberhausen,Wehen,3.31,3.2,2.19,2-1,2011-2012
Unknown 14:00,Sandhausen,Preussen Munster,1.96,3.35,3.74,2-0,2011-2012
Unknown 14:00,Werder Bremen II,Aalen,2.21,3.21,3.28,0-4,2011-2012
18 Nov 2011 19:10,Stuttgart II,VfL Osnabruck,2.43,3.23,2.83,1-0,2011-2012
Unknown 18:30,Unterhaching,Erfurt,2.32,3.25,2.98,1-3,2011-2012
12 Nov 2011 15:00,Preussen Munster,Arminia Bielefeld,2.18,3.29,3.2,0-0,2011-2012
05 Nov 2011 14:00,Aalen,Babelsberg,1.8,3.41,4.46,1-3,2011-2012
Unknown 14:00,Burghausen,Heidenheim,2.5,3.2,2.78,2-1,2011-2012
Unknown 14:00,Erfurt,Offenbach,1.93,3.42,3.84,0-0,2011-2012
Unknown 14:00,Regensburg,Unterhaching,2.07,3.32,3.41,2-0,2011-2012
Unknown 14:00,Saarbrucken,Preussen Munster,1.98,3.33,3.74,2-2,2011-2012
Unknown 14:00,Stuttgart II,Sandhausen,2.41,3.26,2.81,0-1,2011-2012
Unknown 14:00,VfL Osnabruck,Werder Bremen II,1.65,3.65,5.28,1-1,2011-2012
Unknown 14:00,Wehen,Chemnitzer,1.82,3.53,4.16,2-0,2011-2012
Unknown 13:30,Arminia Bielefeld,Oberhausen,1.91,3.32,4.02,3-0,2011-2012
04 Nov 2011 19:00,Darmstadt,Jena,1.67,3.71,4.91,3-0,2011-2012
29 Oct 2011 14:00,Babelsberg,VfL Osnabruck,2.93,3.28,2.33,2-1,2011-2012
Unknown 14:00,Heidenheim,Erfurt,2.2,3.24,3.24,0-1,2011-2012
Unknown 14:00,Jena,Aalen,2.48,3.27,2.72,2-3,2011-2012
Unknown 14:00,Offenbach,Regensburg,2.38,3.26,2.85,2-1,2011-2012
Unknown 14:00,Preussen Munster,Burghausen,1.76,3.56,4.5,0-0,2011-2012
Unknown 14:00,Oberhausen,Darmstadt,2.36,3.26,2.88,1-1,2011-2012
Unknown 14:00,Sandhausen,Saarbrucken,2.18,3.35,3.15,1-1,2011-2012
Unknown 14:00,Unterhaching,Wehen,2.52,3.26,2.69,5-1,2011-2012
Unknown 14:00,Werder Bremen II,Stuttgart II,2.63,3.25,2.59,3-1,2011-2012
28 Oct 2011 18:30,Chemnitzer,Arminia Bielefeld,2.08,3.31,3.46,1-1,2011-2012
22 Oct 2011 14:00,Aalen,Oberhausen,1.82,3.41,4.3,0-0,2011-2012
Unknown 14:00,Burghausen,Saarbrucken,2.75,3.26,2.48,2-0,2011-2012
Unknown 14:00,Darmstadt,Chemnitzer,2.19,3.28,3.2,2-1,2011-2012
Unknown 14:00,Erfurt,Preussen Munster,2.07,3.29,3.45,1-1,2011-2012
Unknown 14:00,Regensburg,Heidenheim,2.26,3.29,3.04,1-1,2011-2012
Unknown 14:00,Stuttgart II,Babelsberg,1.83,3.36,4.31,3-1,2011-2012
Unknown 14:00,VfL Osnabruck,Jena,1.56,3.88,5.75,2-2,2011-2012
Unknown 14:00,Werder Bremen II,Sandhausen,2.86,3.25,2.39,0-2,2011-2012
21 Oct 2011 19:00,Wehen,Offenbach,1.95,3.36,3.78,3-1,2011-2012
21 Oct 2011 19:00,Arminia Bielefeld,Unterhaching,2.34,3.31,2.88,2-1,2011-2012
15 Oct 2011 14:00,Babelsberg,Werder Bremen II,1.97,3.35,3.72,2-3,2011-2012
Unknown 14:00,Chemnitzer,Aalen,2.04,3.28,3.59,0-1,2011-2012
Unknown 14:00,Heidenheim,Wehen,2.2,3.32,3.16,1-1,2011-2012
Unknown 14:00,Offenbach,Arminia Bielefeld,1.66,3.67,5.12,0-1,2011-2012
Unknown 14:00,Preussen Munster,Regensburg,2.27,3.2,3.13,2-0,2011-2012
Unknown 14:00,Saarbrucken,Erfurt,1.78,3.6,4.26,0-2,2011-2012
Unknown 14:00,Sandhausen,Burghausen,1.78,3.55,4.31,3-1,2011-2012
14 Oct 2011 19:00,Oberhausen,VfL Osnabruck,2.87,3.22,2.4,1-1,2011-2012
Unknown 19:00,Unterhaching,Darmstadt,1.94,3.44,3.78,1-0,2011-2012
Unknown 18:30,Jena,Stuttgart II,2.41,3.3,2.8,1-2,2011-2012
08 Oct 2011 14:15,Jena,Babelsberg,2.09,3.32,3.39,1-2,2011-2012
Unknown 14:00,Heidenheim,Darmstadt,1.92,3.38,3.84,2-1,2011-2012
Unknown 14:00,Sandhausen,Erfurt,2.21,3.29,3.14,2-1,2011-2012
02 Oct 2011 14:00,Darmstadt,Offenbach,2.54,3.24,2.67,0-0,2011-2012
01 Oct 2011 14:00,Aalen,Unterhaching,2.33,3.22,3.01,1-0,2011-2012
Unknown 14:00,Arminia Bielefeld,Heidenheim,2.5,3.24,2.75,0-1,2011-2012
Unknown 14:00,Babelsberg,Sandhausen,2.48,3.2,2.8,1-2,2011-2012
Unknown 14:00,Erfurt,Burghausen,1.7,3.61,4.83,3-3,2011-2012
Unknown 14:00,Regensburg,Saarbrucken,2.46,3.22,2.78,4-1,2011-2012
Unknown 14:00,Stuttgart II,Oberhausen,1.81,3.52,4.23,1-1,2011-2012
Unknown 14:00,VfL Osnabruck,Chemnitzer,1.84,3.5,4.07,1-0,2011-2012
Unknown 14:00,Wehen,Preussen Munster,1.99,3.34,3.67,3-0,2011-2012
30 Sep 2011 18:30,Werder Bremen II,Jena,2.39,3.39,2.87,2-2,2011-2012
24 Sep 2011 14:00,Burghausen,Regensburg,2.41,3.25,2.84,1-1,2011-2012
Unknown 14:00,Chemnitzer,Stuttgart II,2.0,3.33,3.66,1-1,2011-2012
Unknown 14:00,Offenbach,Aalen,1.76,3.5,4.56,2-1,2011-2012
Unknown 14:00,Oberhausen,Werder Bremen II,1.89,3.4,3.99,1-1,2011-2012
Unknown 14:00,Saarbrucken,Wehen,2.0,3.37,3.59,2-1,2011-2012
Unknown 14:00,Unterhaching,VfL Osnabruck,2.34,3.22,2.97,1-1,2011-2012
18 Sep 2011 14:00,Regensburg,Erfurt,2.25,3.28,3.12,2-2,2011-2012
17 Sep 2011 14:00,Aalen,Heidenheim,2.34,3.27,2.95,0-0,2011-2012
Unknown 14:00,Arminia Bielefeld,Saarbrucken,2.58,3.26,2.62,0-4,2011-2012
Unknown 14:00,Babelsberg,Oberhausen,2.08,3.33,3.43,1-0,2011-2012
