matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
02 Nov 2025 19:30,Alemannia Aachen,Saarbrucken,2.28,3.42,2.88,2-0,2025-2026
Unknown 16:30,RW Essen,Schweinfurt,1.36,5.03,7.01,2-1,2025-2026
Unknown 13:30,Hoffenheim II,Mannheim,2.26,3.75,2.71,2-0,2025-2026
01 Nov 2025 16:30,Hansa Rostock,Verl,1.94,3.75,3.41,2-2,2025-2026
Unknown 14:00,Aue,Regensburg,2.03,3.6,3.27,4-3,2025-2026
Unknown 14:00,Munich 1860,Cottbus,2.31,3.7,2.68,3-0,2025-2026
Unknown 14:00,TSV Havelse,Wehen,3.5,3.89,1.87,0-2,2025-2026
Unknown 14:00,Ulm,Stuttgart II,2.54,3.46,2.55,1-3,2025-2026
Unknown 14:00,VfL Osnabruck,Duisburg,2.27,3.29,3.0,0-0,2025-2026
31 Oct 2025 19:00,Viktoria Koln,Ingolstadt,2.5,3.59,2.5,3-1,2025-2026
26 Oct 2025 19:30,Duisburg,RW Essen,2.32,3.31,2.88,1-1,2025-2026
Unknown 16:30,Viktoria Koln,Hansa Rostock,2.92,3.48,2.24,2-4,2025-2026
Unknown 13:30,Hoffenheim II,Aue,1.76,3.96,3.94,1-1,2025-2026
25 Oct 2025 16:30,Schweinfurt,VfL Osnabruck,4.03,3.66,1.81,1-2,2025-2026
Unknown 14:00,Cottbus,TSV Havelse,1.31,5.6,7.4,4-3,2025-2026
Unknown 14:00,Ingolstadt,Saarbrucken,2.44,3.71,2.54,2-1,2025-2026
Unknown 14:00,Mannheim,Munich 1860,2.33,3.47,2.81,3-1,2025-2026
Unknown 14:00,Regensburg,Stuttgart II,2.51,3.47,2.58,3-2,2025-2026
Unknown 14:00,Verl,Ulm,1.91,3.86,3.44,5-0,2025-2026
24 Oct 2025 19:00,Wehen,Alemannia Aachen,2.1,3.51,3.19,1-2,2025-2026
19 Oct 2025 19:30,TSV Havelse,Regensburg,2.79,3.57,2.29,1-2,2025-2026
Unknown 16:30,Munich 1860,Duisburg,2.38,3.37,2.81,3-1,2025-2026
Unknown 13:30,Ulm,Cottbus,2.53,3.6,2.49,1-2,2025-2026
18 Oct 2025 16:30,RW Essen,Viktoria Koln,1.85,3.68,3.82,1-0,2025-2026
Unknown 14:00,Alemannia Aachen,Ingolstadt,2.27,3.63,2.8,0-1,2025-2026
Unknown 14:00,Hansa Rostock,Wehen,1.85,3.74,3.77,3-0,2025-2026
Unknown 14:00,Saarbrucken,Verl,2.12,3.8,2.93,2-4,2025-2026
Unknown 14:00,Stuttgart II,Schweinfurt,1.69,4.04,4.26,3-0,2025-2026
