matchDateTime,homeTeamName,awayTeamName,odds_home,odds_draw,odds_away,score,season
22 May 2018 18:15,Aue,Karlsruher SC,2.39,2.9,3.39,3-1,2017-2018
18 May 2018 18:15,Karlsruher SC,Aue,2.16,2.97,3.85,0-0,2017-2018
12 May 2018 13:30,Chemnitzer,Hansa Rostock,2.6,3.62,2.46,1-1,2017-2018
Unknown 13:30,Erfurt,Wurzburger Kickers,6.81,4.66,1.41,1-3,2017-2018
Unknown 13:30,Fortuna Koln,Paderborn,6.05,5.08,1.41,2-4,2017-2018
Unknown 13:30,Hallescher,Zwickau,1.91,3.5,3.85,2-0,2017-2018
Unknown 13:30,Karlsruher SC,Jena,1.76,3.86,4.15,2-3,2017-2018
Unknown 13:30,Lotte,Magdeburg,6.74,4.08,1.45,0-1,2017-2018
Unknown 13:30,Grossaspach,Preussen Munster,3.02,3.71,2.13,2-2,2017-2018
Unknown 13:30,Unterhaching,VfL Osnabruck,1.57,4.29,5.1,4-1,2017-2018
Unknown 13:30,Wehen,Aalen,1.53,4.41,5.29,2-0,2017-2018
Unknown 13:30,Werder Bremen II,Meppen,2.73,3.39,2.45,2-1,2017-2018
05 May 2018 13:30,Aalen,Karlsruher SC,6.85,3.87,1.51,0-2,2017-2018
Unknown 13:30,Hansa Rostock,Hallescher,2.27,3.25,3.13,4-2,2017-2018
Unknown 13:30,Jena,Unterhaching,2.0,3.57,3.46,2-1,2017-2018
Unknown 13:30,Magdeburg,Chemnitzer,1.31,5.21,8.18,3-1,2017-2018
Unknown 13:30,Meppen,Erfurt,1.33,5.18,7.59,3-0,2017-2018
Unknown 13:30,Paderborn,Wehen,1.99,3.86,3.33,3-1,2017-2018
Unknown 13:30,Preussen Munster,Lotte,1.82,3.67,4.08,3-0,2017-2018
Unknown 13:30,VfL Osnabruck,Werder Bremen II,1.99,3.62,3.43,1-1,2017-2018
Unknown 13:30,Wurzburger Kickers,Grossaspach,1.42,4.43,8.0,1-1,2017-2018
Unknown 13:30,Zwickau,Fortuna Koln,1.78,3.62,4.28,1-0,2017-2018
29 Apr 2018 14:00,Chemnitzer,Preussen Munster,2.48,3.47,2.63,1-2,2017-2018
Unknown 14:00,Erfurt,Werder Bremen II,2.99,3.37,2.29,0-3,2017-2018
Unknown 14:00,Grossaspach,Meppen,2.47,3.3,2.77,2-3,2017-2018
28 Apr 2018 14:00,Fortuna Koln,Hansa Rostock,2.59,3.24,2.65,0-0,2017-2018
Unknown 14:00,Hallescher,Magdeburg,2.61,3.29,2.55,0-2,2017-2018
Unknown 14:00,Karlsruher SC,Paderborn,2.21,3.43,3.1,0-0,2017-2018
Unknown 14:00,Lotte,Wurzburger Kickers,3.31,3.31,2.18,1-3,2017-2018
Unknown 14:00,VfL Osnabruck,Jena,1.99,3.65,3.46,1-2,2017-2018
Unknown 14:00,Wehen,Zwickau,1.41,4.57,7.34,3-0,2017-2018
27 Apr 2018 19:00,Unterhaching,Aalen,1.85,3.58,4.04,0-1,2017-2018
23 Apr 2018 18:30,Zwickau,Karlsruher SC,3.7,3.25,2.0,2-4,2017-2018
22 Apr 2018 14:00,Aalen,VfL Osnabruck,2.35,3.39,2.89,2-1,2017-2018
Unknown 14:00,Preussen Munster,Hallescher,2.13,3.33,3.36,1-2,2017-2018
21 Apr 2018 14:00,Erfurt,Grossaspach,3.08,3.37,2.21,0-6,2017-2018
Unknown 14:00,Hansa Rostock,Wehen,3.63,3.25,2.07,2-0,2017-2018
Unknown 14:00,Magdeburg,Fortuna Koln,1.4,4.54,7.33,2-0,2017-2018
Unknown 14:00,Paderborn,Unterhaching,1.27,5.76,9.6,3-0,2017-2018
Unknown 14:00,Werder Bremen II,Jena,2.7,3.26,2.55,2-4,2017-2018
Unknown 14:00,Wurzburger Kickers,Chemnitzer,1.42,4.58,7.0,0-0,2017-2018
20 Apr 2018 19:00,Meppen,Lotte,2.17,3.33,3.26,2-1,2017-2018
17 Apr 2018 19:00,Jena,Magdeburg,3.86,3.46,1.92,1-5,2017-2018
15 Apr 2018 14:00,Karlsruher SC,Hansa Rostock,1.55,3.66,6.67,0-0,2017-2018
Unknown 14:00,Lotte,Erfurt,1.5,4.13,6.13,1-0,2017-2018
Unknown 14:00,Unterhaching,Zwickau,2.11,3.31,3.21,2-1,2017-2018
14 Apr 2018 14:00,Fortuna Koln,Preussen Munster,2.14,3.23,3.33,2-4,2017-2018
Unknown 14:00,Jena,Aalen,1.71,3.73,4.68,3-2,2017-2018
Unknown 14:00,Grossaspach,Werder Bremen II,2.27,3.35,3.02,2-2,2017-2018
Unknown 14:00,VfL Osnabruck,Paderborn,4.44,3.84,1.67,0-5,2017-2018
14 Apr 2018 14:00,Chemnitzer,Meppen,2.2,3.49,3.05,1-2,2017-2018
Unknown 14:00,Hallescher,Wurzburger Kickers,2.44,3.16,2.91,1-3,2017-2018
13 Apr 2018 19:00,Wehen,Magdeburg,2.28,3.27,3.06,1-2,2017-2018
08 Apr 2018 14:00,Erfurt,Chemnitzer,2.97,3.36,2.31,0-5,2017-2018
Unknown 14:00,Meppen,Hallescher,2.63,3.16,2.69,2-2,2017-2018
Unknown 14:00,Zwickau,VfL Osnabruck,2.3,3.34,3.03,1-1,2017-2018
07 Apr 2018 14:00,Hansa Rostock,Unterhaching,2.0,3.47,3.59,1-1,2017-2018
