match_id,season,matchday,match_datetime,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,result,venue,attendance,home_elo,home_pi,home_points_l5,home_points_l10,home_goals_scored_l5,home_goals_conceded_l5,away_elo,away_pi,away_points_l5,away_points_l10,away_goals_scored_l5,away_goals_conceded_l5,odds_home,odds_draw,odds_away,implied_prob_home,implied_prob_draw,implied_prob_away,post_home_possession,post_home_shots,post_home_shots_on_target,post_home_big_chances,post_home_passes,post_home_pass_accuracy,post_home_tackles,post_home_interceptions,post_home_fouls,post_home_corners,post_home_yellow_cards,post_home_red_cards,post_away_possession,post_away_shots,post_away_shots_on_target,post_away_big_chances,post_away_passes,post_away_pass_accuracy,post_away_tackles,post_away_interceptions,post_away_fouls,post_away_corners,post_away_yellow_cards,post_away_red_cards,temperature_celsius,humidity_percent,wind_speed_kmh,precipitation_mm,rest_days_home,rest_days_away,travel_distance_km,home_prev_season_position,home_prev_season_points,home_prev_season_wins,home_prev_season_goal_diff,away_prev_season_position,away_prev_season_points,away_prev_season_wins,away_prev_season_goal_diff,h2h_total_matches,h2h_home_wins,h2h_draws,h2h_away_wins,elo_diff,pi_diff,form_diff_l5,goal_diff_l5,prev_season_position_diff,prev_season_points_diff,home_was_top_tier,home_was_bottom_tier,away_was_top_tier,away_was_bottom_tier,home_is_new_team,away_is_new_team,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_match_count,rest_days_diff,home_rest_advantage,away_rest_advantage,home_rest_category,away_rest_category,day_of_week,month,year,is_midweek,is_hot,is_cold,is_rainy,is_heavy_rain,is_windy,is_extreme_weather,is_home,target_home_win,target_draw,target_away_win,target_multiclass,target_home_goals,target_away_goals,target_total_goals,has_detailed_stats,has_odds,has_ratings,has_weather
10,2009-2010,1,2009-07-25 14:00:00,FC Ingolstadt 04,FC Bayern München II,19,20,2,0,H,TUJA-Stadion ,3500.0,1500.0,0.5,0.0,0.0,0.0,0.0,1500.0,0.5,0.0,0.0,0.0,0.0,1.77,3.47,4.42,0.5649717514124294,0.2881844380403458,0.22624434389140272,,,,,,,,,,,,,,,,,,,,,,,,,18.9,55.0,18.4,0.0,,,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0,0,1,1,,,,0,,0,0,,,5,7,2009,0,0,0,0,0,0,0,1,1,0,0,2,2,0,2,0,1,1,1
11,2009-2010,2,2009-07-28 18:30:00,Erzgebirge Aue,FC Ingolstadt 04,10,19,1,0,H,Erzgebirgsstadion ,8600.0,1500.0,0.3333333333333333,1.0,1.0,0.0,0.0,1516.0,1.0,3.0,3.0,2.0,0.0,2.45,3.27,2.71,0.4081632653061224,0.3058103975535168,0.36900369003690037,,,,,,,,,,,,,,,,,,,,,,,,,18.1,68.0,5.2,0.0,3.0,3.0,,,,,,,,,,0,0,0,0,-16.0,-0.6666666666666667,-2.0,-2.0,,,0,0,0,0,1,1,,,,0,0.0,0,0,medium,medium,1,7,2009,1,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,1,1,1
12,2009-2010,2,2009-07-28 18:30:00,SV Wehen Wiesbaden,Dynamo Dresden,6,3,0,1,A,Brita Arena,5726.0,1484.0,0.0,0.0,0.0,1.0,2.0,1484.0,0.0,0.0,0.0,0.0,1.0,2.29,3.27,3.06,0.4366812227074236,0.3058103975535168,0.32679738562091504,,,,,,,,,,,,,,,,,,,,,,,,,21.4,51.0,4.9,0.0,3.0,3.0,402.47838179550246,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0,0,1,1,,,,0,0.0,0,0,medium,medium,1,7,2009,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1
13,2009-2010,2,2009-07-28 19:00:00,Borussia Dortmund II,Eintracht Braunschweig,16,13,0,0,D,Rote Erde ,2000.0,1484.0,0.0,0.0,0.0,3.0,4.0,1516.0,1.0,3.0,3.0,1.0,0.0,2.56,3.27,2.67,0.390625,0.3058103975535168,0.37453183520599254,,,,,,,,,,,,,,,,,,,,,,,,,18.4,72.0,4.4,0.0,3.0,3.0,233.38840787040002,,,,,,,,,0,0,0,0,-32.0,-1.0,-3.0,-2.0,,,0,0,0,0,1,1,,,,0,0.0,0,0,medium,medium,1,7,2009,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1
14,2009-2010,2,2009-07-28 19:00:00,VfL Osnabrück,Werder Bremen II,14,11,1,0,H,osnatel Arena ,10000.0,1484.0,0.0,0.0,0.0,0.0,1.0,1500.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.77,3.43,4.56,0.5649717514124294,0.29154518950437314,0.2192982456140351,,,,,,,,,,,,,,,,,,,,,,,,,18.6,69.0,3.8,0.0,3.0,3.0,101.2394735988392,,,,,,,,,0,0,0,0,-16.0,-0.3333333333333333,-1.0,-1.0,,,0,0,0,0,1,1,,,,0,0.0,0,0,medium,medium,1,7,2009,1,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,1,1,1
15,2009-2010,2,2009-07-28 19:00:00,FC Bayern München II,SpVgg Unterhaching,20,7,1,1,D,Stadion an der Grünwalder Straße ,2000.0,1484.0,0.0,0.0,0.0,0.0,2.0,1500.0,0.3333333333333333,1.0,1.0,3.0,3.0,2.4,3.29,2.81,0.4166666666666667,0.303951367781155,0.35587188612099646,,,,,,,,,,,,,,,,,,,,,,,,,19.5,66.0,4.6,0.0,3.0,3.0,,,,,,,,,,0,0,0,0,-16.0,-0.3333333333333333,-1.0,-2.0,,,0,0,0,0,1,1,,,,0,0.0,0,0,medium,medium,1,7,2009,1,0,0,0,0,0,0,1,0,1,0,1,1,1,2,0,1,1,1
16,2009-2010,2,2009-07-29 18:30:00,FC Rot-Weiß Erfurt,Kickers Offenbach,12,9,0,2,A,Steigerwaldstadion ,6577.0,1500.0,0.3333333333333333,1.0,1.0,0.0,0.0,1500.0,0.3333333333333333,1.0,1.0,0.0,0.0,2.12,3.25,3.26,0.4716981132075471,0.3076923076923077,0.3067484662576687,,,,,,,,,,,,,,,,,,,,,,,,,24.6,50.0,4.9,0.0,4.0,4.0,,,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0,0,1,1,,,,0,0.0,0,0,medium,medium,2,7,2009,1,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,1,1,1
17,2009-2010,2,2009-07-29 18:30:00,SV Sandhausen,FC Carl Zeiss Jena,8,5,2,2,D,Hardtwaldstadion,3150.0,1500.0,0.3333333333333333,1.0,1.0,3.0,3.0,1516.0,1.0,3.0,3.0,2.0,1.0,1.92,3.37,3.74,0.5208333333333334,0.29673590504451036,0.267379679144385,,,,,,,,,,,,,,,,,,,,,,,,,25.7,63.0,1.3,0.0,4.0,4.0,274.0808685160125,,,,,,,,,0,0,0,0,-16.0,-0.6666666666666667,-2.0,-1.0,,,0,0,0,0,1,1,,,,0,0.0,0,0,medium,medium,2,7,2009,1,1,0,0,0,0,0,1,0,1,0,1,2,2,4,0,1,1,1
18,2009-2010,2,2009-07-29 19:00:00,VfB Stuttgart II,1. FC Heidenheim 1846,4,17,1,1,D,GAZi-Stadion auf der Waldau ,1300.0,1516.0,1.0,3.0,3.0,1.0,0.0,1500.0,0.3333333333333333,1.0,1.0,2.0,2.0,1.91,3.4,3.59,0.5235602094240838,0.29411764705882354,0.2785515320334262,,,,,,,,,,,,,,,,,,,,,,,,,24.8,61.0,4.1,0.0,4.0,4.0,,,,,,,,,,0,0,0,0,16.0,0.6666666666666667,2.0,1.0,,,0,0,0,0,1,1,,,,0,0.0,0,0,medium,medium,2,7,2009,1,0,0,0,0,0,0,1,0,1,0,1,1,1,2,0,1,1,1
19,2009-2010,2,2009-07-29 19:00:00,Wuppertaler SV,Jahn Regensburg,18,1,2,2,D,Stadion am Zoo ,4870.0,1500.0,0.3333333333333333,1.0,1.0,2.0,2.0,1516.0,1.0,3.0,3.0,2.0,0.0,1.93,3.36,3.85,0.5181347150259068,0.2976190476190476,0.2597402597402597,,,,,,,,,,,,,,,,,,,,,,,,,21.8,63.0,8.4,0.0,4.0,4.0,,,,,,,,,,0,0,0,0,-16.0,-0.6666666666666667,-2.0,-2.0,,,0,0,0,0,1,1,,,,0,0.0,0,0,medium,medium,2,7,2009,1,0,0,0,0,0,0,1,0,1,0,1,2,2,4,0,1,1,1
